ファイル名: RCON(MJ0384-8D)_page115

<overview>
このページは「ゲートウェイユニット、ターミナルユニット」のLED表示に関する説明で構成されています。  
テキスト部分ではLEDの役割と状態の説明があり、表部分では各LEDのパネル表記、表示色、状態、及びその説明が詳細に示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 1 LED表示
ゲートウェイユニットの状態およびフィールドネットワークの状態を示すLEDについて説明しています。

### 表
#### LED表示の状態一覧

| パネル表記 | 表示色 | 状態 | 説明 |
| :--- | :--- | :--- | :--- |
| T RUN | 緑 | 点灯 | 内部バス正常通信中 |
|  | 緑 | 点滅 | 初期化通信待ち |
|  | 橙 | 点灯 | 内部バス通信異常発生 |
| SYS | 緑 | 点灯 | 正常運転中（ドライバーユニットや簡易アブソユニットでアラームが発生している場合も緑点灯） |
|  | 橙 | 点灯 | ゲートウェイアラーム発生中 |
| STOP | 赤 | 点灯 | STOP信号入力OFF（ドライバーユニット駆動源遮断中） |
|  | 赤 | 消灯 | STOP信号入力ON |
| MODE | 緑 | 点灯 | AUTO（自動運転）モード中 |
|  | 緑 | 消灯 | MANU（手動運転）モード中 |
| C ERR | 橙 | 点灯 | フィールドネットワーク異常発生 |
|  | 橙 | 消灯 | フィールドネットワーク正常運転中 |
| STATUS 0 | - | - | フィールドネットワークにより異なる（3.1.6 フィールドネットワークインターフェイス仕様参照） |
| STATUS 1 | - | - | フィールドネットワークにより異なる（3.1.6 フィールドネットワークインターフェイス仕様参照） |

</contents>
