ファイル名: RCON(MJ0384-8D)_page204

<overview>
このページは「SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット」に関する説明の一部であり、主に以下の構成で成り立っています。
- テキスト部分：SCON接続コネクターの説明
- 画像部分：SCON接続コネクターの写真
- 表部分：SCON接続コネクターのピン番号、信号名、説明をまとめた表
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### SCON接続コネクター
SCON拡張ユニットとSCONを接続するケーブルのコネクターについて説明しています。

### 画像
SCON接続コネクターの実物写真が掲載されています。

### 表
#### SCON接続コネクター ピン配列

| ピン番号 | 信号名       | 説明                                   |
| :------- | :----------- | :------------------------------------ |
| 1        | VP24         | 拡張モジュール用 24V 電源             |
| 2        | GND          | 0V                                    |
| 3        | DRV_DY       | ドライバー専用内部バス通信 差動送信ライン＋ |
| 4        | DRV_RA       | ドライバー専用内部バス通信 差動受信ライン＋ |
| 5        | DRV_DZ       | ドライバー専用内部バス通信 差動送信ライン－ |
| 6        | DRV_RB       | ドライバー専用内部バス通信 差動受信ライン－ |
| 7        | AM_SD+       | MODBUS 差動ライン＋                    |
| 8        | AM_SD－      | MODBUS 差動ライン－                    |
| 9        | ACT_PULSE+   | ドライバー通信タイミング通知信号 差動ライン＋ |
| 10       | ACT_PULSE－  | ドライバー通信タイミング通知信号 差動ライン－ |
| 11       | SYNC_PULSE+  | ドライバー同期信号 差動ライン＋        |
| 12       | SYNC_PULSE－ | ドライバー同期信号 差動ライン－        |
| 13       | RTC_1Hz      | 1Hz トグル信号                        |
| 14       | CONE_IN      | ユニット連結確認信号                  |
| 15       | STOP         | STOP 信号                            |
| 16       | ENABLE       | イネーブル信号                      |
| 17       | NC           | 未接続                              |
| 18       | GW_RESET     | ゲートウェイリセット信号              |
| 19       | FG           | フレームグラウンド                    |
</contents>
