ファイル名: RCON(MJ0384-8D)_page221

<overview>
このページは「EC接続ユニット」の一部で、主にEC接続用コネクターに関する説明で構成されています。ページ構成は以下の通りです。
- テキスト部分：EC接続用コネクターの概要説明、軸番号の割り振りについての解説
- 画像部分：EC接続用コネクターの写真（4軸分のコネクターが縦に並んだ写真）
- 表部分：基板側・ケーブル側コネクターの型番一覧表と、ピン番号ごとの信号名と説明をまとめたピンアサイン表
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### EC接続用コネクター
エレシリンダーと接続するためのコネクターです。上から1軸目、2軸目、3軸目、4軸目となります。
軸番号は、ドライバーユニットとSCON拡張ユニットに接続される軸の後ろに自動で割り振られます。また、4軸全部にエレシリンダーを接続していなくても、4軸分の軸番号が割り振られます。未接続軸の軸番号は前詰めされません。

### 画像
（4軸分のEC接続用コネクターが縦に並んだ写真）

### 表
#### コネクター型番
| 種類             | 型番                             |
| :--------------- | :------------------------------- |
| 基板側コネクター | DF62-13P-2.2DS(18)（ヒロセ電機） |
| ケーブル側コネクター | DF62-13S-2.2C(18)（ヒロセ電機） |

#### ピンアサイン
| ピン番号 | 信号名       | 説明               |
| :------- | :----------- | :----------------- |
| 1        | 24V（MP）    | モーター電源 +24V  |
| 2        | GND          | 0V                 |
| 3        | IN0          | 入力0              |
| 4        | IN1          | 入力1              |
| 5        | IN2          | 入力2              |
| 6        | SD+          | 通信ライン＋       |
| 7        | OUT0         | 出力0              |
| 8        | OUT1         | 出力1              |
| 9        | OUT2         | 出力2              |
| 10       | SD-          | 通信ライン－       |
| 11       | BKRLS        | ブレーキリリース   |
| 12       | 24V（CP）    | 制御電源 +24V      |
| 13       | FG           | フレームグラウンド |

</contents>
