ファイル名: RCON(MJ0384-8D)_page265

<overview>
このページは「ユニットの連結と据付け」に関する章の一部であり、主に表形式で構成されています。内容は、全軸同じ動作モードの場合に制御可能な軸数を示した表が中心です。テキストは表の注釈として、オプションユニットを接続しない場合の条件を説明しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
- 注1：全軸同じ動作モードの場合の制御可能な軸数を示す（オプションユニットを接続しない場合）。

### 表
#### 全軸同じ動作モードの制御可能軸数一覧

| フィールドネットワーク           | モード                   | 直接数値指定モード | 簡易直値モード | ポジショナー1モード | ポジショナー2モード | ポジショナー3モード | ポジショナー5モード | フル直値モード | フル直値2モード |
|-------------------------------|------------------------|------------------|--------------|------------------|------------------|------------------|------------------|--------------|--------------|
| CC-Link                       |                        | 16軸             | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 8軸          | 8軸          |
| CC-Link IE Field              |                        | 16軸             | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 16軸         | 16軸         |
| CC-Link IE TSN                |                        | 16軸             | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 16軸         | 16軸         |
| DeviceNet                    |                        | 8軸              | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 4軸          | 4軸          |
| EtherCAT                     |                        | 8軸              | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 4軸          | 4軸          |
| EtherNet/IP                  |                        | 8軸              | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 4軸          | 4軸          |
| EtherNet/IP（フロントポート） |                        | 16軸             | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 8軸          | 8軸          |
| PROFIBUS-DP                 |                        | 8軸              | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 4軸          | 4軸          |
| PROFINET-IO                 |                        | 8軸              | 16軸         | 16軸             | 16軸             | 16軸             | 16軸             | 4軸          | 4軸          |

</contents>
