ファイル名: RCON(MJ0384-8D)_page306

<overview>
本ページは「4.7 アクチュエーターとドライバーユニットの配線」に関する内容で構成されています。  
主に表形式で、200Vドライバーユニット接続ケーブルの一覧を示しており、アクチュエーターのシリーズ・対象タイプごとに適用コントローラ記号、最大ケーブル長、モーターケーブル、モーターロボットケーブル、エンコーダーケーブル、エンコーダーロボットケーブルの対応関係を詳細にまとめています。  
テキストは表の注釈としてリミットスイッチ付仕様の説明が付記されています。  
図やグラフはなく、表が主体のページです。
</overview>

<contents>
### 表
#### 200Vドライバーユニット接続ケーブル一覧

| No. | アクチュエーターシリーズ | 対象タイプ | 適用コントローラ記号 | 最大ケーブル長[m] | モーターケーブル | モーターロボットケーブル | エンコーダーケーブル | エンコーダーロボットケーブル |
| :--- | :--- | :--- | :--- | :---: | :--- | :--- | :--- | :--- |
| (1) | RCS4, RCS4CR |  | T4 | 20 | CB-RCC1-MA□□□ | CB-X2-MA□□□ | ― | CB-X1-PA□□□ |
| (2) | RCS3 (P), RCS3 (P) CR | CTZ5C, CT8C | T4 | 20 | CB-RCC1-MA□□□ | CB-X2-MA□□□ | CB-RCS2-PA□□□ | CB-X1-PA□□□ |
|  |  | 上記以外 |  |  |  |  |  | CB-X3-PA□□□ |
| (3) | RCS2, RCS2CR, RCS2W | RTC□L, RT6 | T4 | 20 | CB-RCC1-MA□□□ | CB-X2-MA□□□ | CB-RCS2-PLA□□□ | CB-X2-PLA□□□ |
|  |  | 上記以外 |  |  |  |  | CB-RCS2-PA□□□ | CB-X3-PA□□□ |
| (4) | RCS2 | ロードセル無 | T4 | 20 | CB-RCC1-MA□□□ | CB-X2-MA□□□ | [アクチュエーター～ブレーキボックス] CB-RCS2-PLA□□□<br> [ブレーキボックス～コントローラ] CB-RCS2-PLA□□□ | [アクチュエーター～ブレーキボックス] CB-X2-PLA□□□<br> [ブレーキボックス～コントローラ] CB-X2-PLA□□□ |
|  |  | RA13R ブレーキ付（ブレーキボックス付） |  |  |  |  |  |  |
|  |  | RA13R ブレーキ付（ブレーキボックス無） |  |  |  |  |  |  |
| (5) | IS (P) B, IS (P) DB, IS (P) DBCR | オプション：リミットスイッチ付仕様（注1） | T4 | 30 | ― | CB-X2-MA□□□ | ― | CB-X1-PA□□□<br>※バッテリーレスアプリリュート仕様でケーブル長が21m以上30m以下の場合はCB-X1-PA□□□-AWG24<br>CB-X1-PLA□□□<br>※バッテリーレスアプリリュート仕様でケーブル長が21m以上30m以下の場合はCB-X1-PLA□□□-AWG24 |
| (6) | IS (P) A, IS (P) DA, IS (P) DACR, SSPA, SSPDACR, IF/IFA, FS, RS | オプション：リミットスイッチ付仕様（注1） | T4 | 30 | ― | CB-X2-MA□□□ | ― | CB-X1-PLA□□□ |
| (7) | NSA |  | T4 | 30 | ― | CB-X2-MA□□□ | ― | CB-X1-PA□□□ |
| (8) | NS | オプション：リミットスイッチ付仕様（注1） | T4 | 30 | ― | CB-X2-MA□□□ | ― | CB-X3-PA□□□<br>CB-X2-PLA□□□ |
| (9) | DD (A), LT18□, DD (A) CR, H18□, DDW, LH18□ |  | T4 | 30 | ― | CB-X2-MA□□□<br>CB-XMC1-MA□□□ | ― | CB-X3-PA□□□ |
| (10) | LSA | W□□□<br>上記以外 | T4 | 20 | ― | CB-XMC1-MA□□□<br>CB-X2-MA□□□ | ― | CB-X2-PLA□□□<br>CB-X3-PA□□□ |
| (11) | LSAS |  | T4 | 20 | ― | CB-X2-MA□□□ | ― | CB-X1-PA□□□ |
| (12) | IS (P) WA |  | T4 | 30 | ― | CB-XEU1-MA□□□ | ― | CB-X1-PA□□□-WC |

#### 注釈
- 注1：リミットスイッチ付のアクチュエーターを動作する場合は、リミットスイッチ付仕様のケーブルになります。（リミットスイッチの配線を内蔵しています。）

</contents>
