ファイル名: RCON(MJ0384-8D)_page434

<overview>
本ページは「6.1 アドレス構成」に関する内容で、主にポジショナーの各モードにおけるデータ構成を示す表が中心となっています。テキストは各モードの説明が簡潔に記載されており、表部分では上位バイト・下位バイト・ワード数ごとに信号やデータの割り当てが詳細に示されています。グラフや図はなく、表形式のデータ構成説明がメインです。
</overview>

<contents>
### テキスト
#### 6.1 アドレス構成
ポジショナーの各モードにおけるデータ構成を示しています。

#### ポジショナー各モードの説明
- ポジショナー2モード
- ポジショナー3モード
- ポジショナー5モード
- フル直値モード

※（L）は2ワードデータの下位ワード、（H）は2ワードデータの上位ワードを表します。

### 表
#### ポジショナー2モード
| 上位バイト       | 下位バイト       | ワード数 | 上位バイト       | 下位バイト       | ワード数 |
| :--------------- | :--------------- | :------- | :--------------- | :--------------- | :------- |
| 指令ポジションNo. |                  | 1        | 完了ポジションNo. |                  | 1        |
| 制御信号         |                  | 1        | 状態信号         |                  | 1        |

#### ポジショナー3モード
| 上位バイト | 下位バイト       | ワード数 | 上位バイト | 下位バイト       | ワード数 |
| :--------- | :--------------- | :------- | :--------- | :--------------- | :------- |
| 制御信号   | 指令ポジションNo. | 1        | 状態信号   | 完了ポジションNo. | 1        |

#### ポジショナー5モード
| 上位バイト       | 下位バイト       | ワード数 | 上位バイト           | 下位バイト       | ワード数 |
| :--------------- | :--------------- | :------- | :------------------- | :--------------- | :------- |
| 指令ポジションNo. |                  | 1        | 現在位置データ(0.1mm単位) |                  | 1        |
| 制御信号         |                  | 1        | 状態信号             |                  | 1        |

#### フル直値モード
| 上位バイト       | 下位バイト       | ワード数 | 上位バイト       | 下位バイト       | ワード数 |
| :--------------- | :--------------- | :------- | :--------------- | :--------------- | :------- |
| 目標位置（L）※   |                  | 2        | 現在位置（L）     |                  | 2        |
| 目標位置（H）※   |                  |          | 現在位置（H）     |                  |          |
| 位置決め幅（L）※ |                  | 2        | 指令電流（L）     |                  | 2        |
| 位置決め幅（H）※ |                  |          | 指令電流（H）     |                  |          |
| 速度（L）※       |                  | 2        | 現在速度（L）     |                  | 2        |
| 速度（H）※       |                  |          | 現在速度（H）     |                  |          |
| ゾーン境界値＋（L）※ |                | 2        | アラームコード     |                  | 1        |
| ゾーン境界値＋（H）※ |                |          | 過負荷レベルモニター |                  | 1        |
| ゾーン境界値－（L）※ |                | 2        | 予約               |                  | 1        |
| ゾーン境界値－（H）※ |                |          | 予約               |                  | 1        |
| 加速度           |                  | 1        | 通算移動回数（L） |                  | 2        |
| 減速度           |                  | 1        | 通算移動回数（H） |                  |          |
| 押付け電流制限値 |                  | 1        | 通算走行距離（L） |                  | 2        |
| 負荷電流しきい値 |                  | 1        | 通算走行距離（H） |                  |          |
| 制御信号1        |                  | 1        | 状態信号1         |                  | 1        |
| 制御信号2        |                  | 1        | 状態信号2         |                  | 1        |

---

※（L）は2ワードデータの下位ワード、（H）は2ワードデータの上位ワードを表します。
</contents>
