ファイル名: RCON(MJ0384-8D)_page448

<overview>
このページは「6.1 アドレス構成」に関する内容で、PROFIBUS-DP、EtherNet/IP（フロントポート仕様含む）、EtherCATの場合の全体アドレス構成例を示しています。  
ページ構成は以下の通りです。  
- テキスト部分：アドレス構成の説明、注釈  
- 表部分：PLC出力からRCON、RCONからPLC入力までの相対バイトアドレスと対応信号の詳細な一覧表  
- 図やグラフはなし  
</overview>

<contents>
### テキスト
#### アドレス構成例の説明
PROFIBUS-DP、EtherNet/IP（フロントポート仕様含む）、EtherCATの場合の全体アドレス構成例を示しています。  
直接数値指定モード軸を2軸分、簡易直値モードまたはポジショナー1モードの軸を12軸分接続する例です。

- 相対バイトはゲートウェイ先頭からの相対バイトアドレスを示します。  
- 現在電流値は、パルスモーターの場合は指令電流値、ACサーボモーター（SCONに接続したACサーボモーター含む）の場合はフィードバック電流値となります。

### 表
#### PLC出力⇒RCON、RCON⇒PLC入力の相対バイトアドレス対応表

| 相対バイト | PLC出力 上位バイト | PLC出力 下位バイト | RCON入力 上位バイト | RCON入力 下位バイト |
| :---: | :---: | :---: | :---: | :---: |
| 0 | ゲートウェイ制御信号0 |  | ゲートウェイ状態信号0 |  |
| 2 | ゲートウェイ制御信号1 |  | ゲートウェイ状態信号1 |  |
| 4 | （使用できません） |  | 電源ユニット状態信号0 |  |
| 6 | （使用できません） |  | 電源ユニット状態信号1 |  |
| 8 | （使用できません） |  | 電源ユニット状態信号2 |  |
| 10 | （使用できません） |  | 電源ユニット状態信号3 |  |
| 12 | （使用できません） |  | 電源ユニット状態信号4/軽故障メンテナンス信号 |  |
| 14 | （使用できません） |  | （使用できません） |  |
| 16 | (軸0) 位置データ指定（L） |  | (軸0) 現在位置データ（L） |  |
| 18 | (軸0) 位置データ指定（H） |  | (軸0) 現在位置データ（H） |  |
| 20 | (軸0) 指令ポジションNo. |  | (軸0) 完了ポジションNo. |  |
| 22 | (軸0) 制御信号 |  | (軸0) 状態信号 |  |
| 24 | (軸1) 位置データ指定（L） |  | (軸1) 現在位置データ（L） |  |
| 26 | (軸1) 位置データ指定（H） |  | (軸1) 現在位置データ（H） |  |
| 28 | (軸1) 指令ポジションNo. |  | (軸1) 完了ポジションNo. |  |
| 30 | (軸1) 制御信号 |  | (軸1) 状態信号 |  |
| 32 | (軸2) 位置データ指定（L） |  | (軸2) 現在位置データ（L） |  |
| 34 | (軸2) 位置データ指定（H） |  | (軸2) 現在位置データ（H） |  |
| 36 | (軸2) 指令ポジションNo. |  | (軸2) 完了ポジションNo. |  |
| 38 | (軸2) 制御信号 |  | (軸2) 状態信号 |  |
| 40 | (軸3) 位置データ指定（L） |  | (軸3) 現在位置データ（L） |  |
| 42 | (軸3) 位置データ指定（H） |  | (軸3) 現在位置データ（H） |  |
| 44 | (軸3) 指令ポジションNo. |  | (軸3) 完了ポジションNo. |  |
| 46 | (軸3) 制御信号 |  | (軸3) 状態信号 |  |
| ... | ... | ... | ... | ... |
| 78 | (軸7) 制御信号 |  | (軸7) 状態信号 |  |
| ... | ... | ... | ... | ... |
| 110 | (軸11) 制御信号 |  | (軸11) 状態信号 |  |
| 112 | (軸12) 位置データ指定（L） |  | (軸12) 現在位置データ（L） |  |
| 114 | (軸12) 位置データ指定（H） |  | (軸12) 現在位置データ（H） |  |
| 116 | (軸12) 位置決め幅指定（L） |  | (軸12) 現在電流値（L）※1 |  |
| 118 | (軸12) 位置決め幅指定（H） |  | (軸12) 現在電流値（H）※1 |  |
| 120 | (軸12) 速度指定 |  | (軸12) 現在速度データ |  |
| 122 | (軸12) 加減速度指定 |  | （使用できません） |  |
| 124 | (軸12) 押付け電流制限値 |  | (軸12) アラームコード |  |
| 126 | (軸12) 制御信号 |  | (軸12) 状態信号 |  |
| 128 | (軸13) 位置データ指定（L） |  | (軸13) 現在位置データ（L） |  |
| 130 | (軸13) 位置データ指定（H） |  | (軸13) 現在位置データ（H） |  |
| 132 | (軸13) 位置決め幅指定（L） |  | (軸13) 現在電流値（L）※1 |  |
| 134 | (軸13) 位置決め幅指定（H） |  | (軸13) 現在電流値（H）※1 |  |
| 136 | (軸13) 速度指定 |  | (軸13) 現在速度データ |  |
| 138 | (軸13) 加減速度指定 |  | （使用できません） |  |
| 140 | (軸13) 押付け電流制限値 |  | (軸13) アラームコード |  |
| 142 | (軸13) 制御信号 |  | (軸13) 状態信号 |  |

### 注釈
- 固定領域は8ワード占有  
- ポジショナー1/簡易直値モードは各軸4ワード占有  
- 直値数値指定モードは各軸8ワード占有  
- ※1 現在電流値はパルスモーターの場合は指令電流値、ACサーボモーターの場合はフィードバック電流値

</contents>
