ファイル名: RCON(MJ0384-8D)_page455

<overview>
本ページは「6.2 各アドレスの割付け内容」に関する内容で、主にPLCの入出力信号一覧を表形式で示しています。  
構成は以下の通りです。  
- 表部分：PLC出力およびPLC入力の信号種類ごとにビット、記号名、内容を詳細に記載した一覧表。  
- テキスト部分：表内の各信号の説明や注意事項が含まれている。  
グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 入出力信号一覧

| 信号種類       | ビット   | 記号名 | 内容                                                                                                   |
| -------------- | -------- | ------ | ---------------------------------------------------------------------------------------------------- |
| **PLC出力**    |          |        |                                                                                                      |
| 制御信号0      | 15       | MON    | ON（"1"）でPLCからの制御出力が有効。OFF（"0"）で無効。ドライバーユニットの制御のみ使用。オプションユニットの制御信号には影響なし。 |
|                | 14       | －     | 使用できません。常時OFF（"0"）にしてください。                                                      |
|                | 13       | RTE    | ERR-TまたはERR-Cの保持状態を解除。ゲートウェイパラメーター設定ツールでERR-TまたはERR-C発生をラッチ設定した場合の解除信号。 |
|                | 12-0     | －     | 使用できません。常時OFF（"0"）にしてください。                                                      |
| 制御信号1      | 15-0     | －     | 使用できません。                                                                                      |
| **PLC入力**    |          |        |                                                                                                      |
| 状態信号0      | b15      | RUN    | ゲートウェイが正常動作中ON。                                                                          |
|                | b14      | LERC   | ERR-Cの発生を保持ON。ERR-C発生をラッチ設定した場合に有効。                                          |
|                | b13      | ERRT   | ゲートウェイと各軸の通信異常を検出した場合にON。                                                    |
|                | b12      | MOD    | 動作モード設定スイッチ。MANU選択中ON、AUTO選択中OFF。                                              |
|                | b11      | ALMH   | 再起動が必要なエラー発生時ON。パラメーター設定誤りの可能性あり。                                    |
|                | b10      | ALML   | 軽微なエラー発生時ON。カレンダーデータ消失などの可能性あり。                                        |
|                | b9       | －     | 使用できません。                                                                                      |
|                | b8       | SEMG   | システムI/OコネクターのSTOP信号入力がOFF（停止）時ON。ON時は全接続軸が停止状態。                    |
|                | b7～b0   | ALMC 1～128 | ゲートウェイに起因したアラームコード出力。詳細は「10.3 ゲートウェイユニットのアラームの原因と対策」を参照。 |
| 状態信号1      | b15～b0  | LNK15～LNK0 | ゲートウェイユニットとドライバーユニットの通信が正常に確立し、ゲートウェイで有効認識されている軸No.のビットがON。軸No.0=LNK0 ～ 軸No.15=LNK15。EC接続ユニットでは使用されない。 |

</contents>
