ファイル名: RCON(MJ0384-8D)_page468

<overview>
本ページは「入出力信号一覧」の一部であり、簡易直値モードにおける各ビットの信号種類、ビット位置、信号名、内容、詳細参照先を表形式で示している。テキスト部分は信号の説明が中心で、表形式で構成されている。グラフや図は含まれていない。
</overview>

<contents>
### 表
#### 入出力信号一覧（簡易直値モード）

| 信号種類       | ビット       | 信号名 | 内容                                                                                                   | 詳細     |
| -------------- | ------------ | ------ | ---------------------------------------------------------------------------------------------------- | -------- |
| 現在位置データ | 32ビットデータ | －     | 32ビット符号付整数（単位：0.01mm、DDモーターは0.001度）<br>例）+25.40mmならば2540と出力<br>最大値は+9,999.99mm=999999<br>16進数で読み取る場合は2の補数 | 6.5.2    |
| 完了ポジションNo. | b6-b0       | PM＊＊  | 完了ポジションNo.を2進数で読み取る。アラーム発生中は簡易アラームコードを出力。<br>[10.4.2 簡易アラームコード]参照 | 6.5.2    |
| 状態信号       | b15          | EMGS   | 非常停止状態<br>【ON：非常停止状態】                                                                   | 6.3(2)   |
| 状態信号       | b14          | CRDY   | コントローラー準備完了<br>【ON：準備完了状態】                                                         | 6.3(1)   |
| 状態信号       | b13          | ZONE2  | ゾーン出力モニター2<br>【ON：現在位置がゾーン2の設定範囲内、OFF：限定位置が設定範囲内にない】             | 6.3(10)  |
| 状態信号       | b12          | ZONE1  | ゾーン出力モニター1<br>【ON：現在位置がゾーン1の設定範囲内、OFF：限定位置が設定範囲内にない】             | 6.3(10)  |
| 状態信号       | b11          | PZONE  | ポジションゾーン出力モニター<br>【現在位置がポジションゾーン設定内にあるときON】                         | -        |
| 状態信号       | b10          | －     | 使用できません                                                                                         | -        |
| 状態信号       | b9           | －     | 使用できません                                                                                         | -        |
| 状態信号       | b8           | MEND   | 指令完了<br>【ON：移動後に位置決め完了・押付け完了・空振りのいずれかの状態、OFF：移動開始またはサーボOFF状態】 | 6.3(20)  |
| 状態信号       | b7           | ALML   | 軽故障アラーム出力<br>【ON：過負荷警告またはメッセージレベルのアラームが発生した場合】                   | 6.3(22)  |
| 状態信号       | b6           | LOAD   | 負荷出力判定ステータス<br>【ON：衝突を検出した場合】                                                   | 6.3(23)  |
| 状態信号       | b5           | PSFL   | 押付け動作空振り<br>【ON：押付け動作が空振りで完了】                                                   | 6.3(19)  |
| 状態信号       | b4           | SV     | 運転準備完了<br>【ON：運転準備完了（サーボON）】                                                       | 6.3(5)   |
| 状態信号       | b3           | ALM    | アラーム<br>【ON：アラーム発生中、OFF：アラーム無し】                                                 | 6.3(3)   |
| 状態信号       | b2           | MOVE   | 移動中<br>【ON：移動中、OFF：停止中】                                                                 | 6.3(6)(7)|
| 状態信号       | b1           | HEND   | 原点復帰完了<br>【ON：原点復帰完了後、原点を維持している状態】                                         | 6.3(6)   |
| 状態信号       | b0           | PEND   | 位置決め完了<br>【ON：動作完了後、サーボONで停止中、OFF：押付け空振りの場合、サーボOFFで停止中】         | 6.3(5)～(7) |

</contents>
