ファイル名: RCON(MJ0384-8D)_page474

<overview>
本ページは「入出力信号一覧」と題された表が中心で構成されています。内容はポジショナー3モードにおけるPLC出力の各ビット信号の種類、信号名、内容、詳細参照ページを示しています。テキスト部分は表の説明や注釈が含まれています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 入出力信号一覧（ポジショナー3モード）
ONは該当ビットが“1”、OFFは該当ビットが“0”を示します。

### 表
#### 各アドレスの割付け内容（制御信号・指令ポジションNo.）

| 信号種類       | ビット    | 信号名 | 内容                                                                                   | 詳細     |
| -------------- | --------- | ------ | -------------------------------------------------------------------------------------- | -------- |
| PLC出力       | b15       | BKRL   | ブレーキ強制解除【ON：ブレーキ強制、OFF：ブレーキ有効】                               | 6.3(16)  |
|               | b14       | －     | 使用できません                                                                         | －       |
|               | b13       | －     | 使用できません                                                                         | －       |
| 制御信号       | b12       | SON    | サーボON【ON：サーボON、OFF：サーボOFF】                                              | 6.3(5)   |
|               | b11       | RES    | リセット【ONでリセット実行】                                                          | 6.3(4)   |
|               | b10       | STP    | 一時停止【ON：一時停止、OFF：一時停止解除】                                          | 6.3(9)   |
|               | b9        | HOME   | 原点復帰【ONで原点復帰指令、途中でOFFしても完了まで実行】                            | 6.3(6)   |
|               | b8        | CSTR   | 位置決めスタート【ONで移動指令実行、途中でOFFしても完了まで実行】                    | 6.3(7)   |
| 指令ポジションNo. | b7        | －     | 使用できません                                                                         | －       |
|               | b6-b0     | PC＊＊  | 指令ポジションNo.を2進数で指定します。                                               | 6.5.2    |

</contents>
