ファイル名: RCON(MJ0384-8D)_page486

<overview>
このページは「6.2 各アドレスの割付け内容」に関する内容で、主に表形式で構成されています。表はPLC出力の制御信号2に関する各ビットの信号種類、ビット番号、記号、内容、詳細ページの参照を示しています。テキスト部分は表の説明として「ON＝該当ビットが“1”、OFF＝該当ビットが“0”」の条件を記載しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 各アドレスの割付け内容
- ONは該当ビットが“1”、OFFは該当ビットが“0”を意味する。

### 表
#### PLC出力 制御信号2 各ビットの割付け

| 信号種類   | ビット | 記号  | 内容                                                                                          | 詳細       |
|------------|--------|-------|-----------------------------------------------------------------------------------------------|------------|
| 制御信号2  | b15    | BKRL  | 【ブレーキ強制解除】ONでブレーキ解除                                                          | 6.3 (16)   |
|            | b14    |       | 使用できません                                                                               | —          |
|            | b13    |       | 使用できません                                                                               | —          |
|            | b12    |       | 使用できません                                                                               | —          |
|            | b11    |       | 使用できません                                                                               | —          |
|            | b10    |       | 使用できません                                                                               | —          |
|            | b9     |       | 使用できません                                                                               | —          |
|            | b8     | JOG+  | 【＋ジョグ】ONで反原点方向にジョグ移動                                                       | 6.3 (11)   |
|            | b7     | JOG-  | 【－ジョグ】ONで原点方向にジョグ移動                                                        | 6.3 (11)   |
|            | b6     | JVEL  | 【ジョグ速度／インチング距離切替え】使用する設定値（パラメーター）を切替える。<br>OFF：パラメーターNo.26 “ジョグ速度”、パラメーターNo.48 “インチング距離”<br>ON：指令速度=0を設定している場合は、パラメーターNo.47 “ジョグ速度2”の設定値、速度指令≠0の場合は指令速度設定値で動作。パラメーターNo.49 “インチング距離2” | 6.3 (12)   |
|            | b5     | JISL  | 【ジョグ／インチング切替え】OFFでジョグ動作、ONでインチング動作                           | 6.3 (13)   |
|            | b4     | SON   | 【サーボON指令】ONでサーボON                                                                | 6.3 (5)    |
|            | b3     | RES   | 【リセット】ONでリセット実行                                                                | 6.3 (4)    |
|            | b2     | STP   | 【一時停止】ONで一時停止指令                                                                | 6.3 (9)    |
|            | b1     | HOME  | 【原点復帰】ONで原点復帰指令                                                                | 6.3 (6)    |
|            | b0     | DSTR  | 【位置決めスタート】ONで移動指令                                                             | 6.3 (8)    |
</contents>
