ファイル名: RCON(MJ0384-8D)_page528

<overview>
本ページは「ドライバーユニットの入出力信号」に関する説明で構成されています。各信号について、信号名、PLC入出力信号の種別、動作モードごとの対応状況を示す表があり、その下に信号の動作説明がテキストで記載されています。ページ全体はテキスト説明と表の繰り返し構成で、グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 【19】押付け空振り（PSFL） PLC入力信号
押付け動作を行ったが、コントローラーのポジションテーブルの位置決め幅またはPLCの位置決め幅レジスターで設定した距離を移動してもワークに押当たらなかった時にONとなる。

#### 【20】指令完了信号（MEND） PLC入力信号
上位から指令された目標位置に移動完了した場合にONになる信号。位置決め完了信号PENDとほぼ同じ制御だが、押付け空振りでもONになる。サーボOFF時や駆動源遮断時はOFF。位置決め指令DSTRがONの場合は目標位置に移動完了していてもONにならない。

#### 【21】インクリメンタル指定（INC） PLC出力信号
信号がONの場合、移動指令を行うと現在位置を基準にPLCの目標位置レジスターに入力された値の移動を行う（相対移動）。OFFの場合はPLC目標位置レジスターの値の位置に移動する。

#### 【22】軽故障アラーム（ALML） PLC入力信号
過負荷警告またはメッセージレベルのアラームが発生した場合にONとなる信号。詳細はパラメーターNo.151の「軽故障アラーム出力選択」を参照。

### 表
#### 【19】押付け空振り（PSFL） PLC入力信号 動作モード対応表

| 動作モード       | 直接数値指定 | 簡易直値 | ポジショナー1 | ポジショナー2 | ポジショナー3 | ポジショナー5 | フル直値 | フル直値2 |
| :--------------- | :----------- | :------- | :------------ | :------------ | :------------ | :------------ | :------- | :-------- |
| ○：有 / ×：無   | ○            | ○        | ○             | ○             | ○             | ○             | ○        | ○         |

#### 【20】指令完了信号（MEND） PLC入力信号 動作モード対応表

| 動作モード       | 直接数値指定 | 簡易直値 | ポジショナー1 | ポジショナー2 | ポジショナー3 | ポジショナー5 | フル直値 | フル直値2 |
| :--------------- | :----------- | :------- | :------------ | :------------ | :------------ | :------------ | :------- | :-------- |
| ○：有 / ×：無   | ○            | ○        | ○             | ○             | ×             | ○             | ○        | ○         |

#### 【21】インクリメンタル指定（INC） PLC出力信号 動作モード対応表

| 動作モード       | 直接数値指定 | 簡易直値 | ポジショナー1 | ポジショナー2 | ポジショナー3 | ポジショナー5 | フル直値 | フル直値2 |
| :--------------- | :----------- | :------- | :------------ | :------------ | :------------ | :------------ | :------- | :-------- |
| ○：有 / ×：無   | ○            | ×        | ×             | ×             | ×             | ×             | ○        | ○         |

#### 【22】軽故障アラーム（ALML） PLC入力信号 動作モード対応表

| 動作モード       | 直接数値指定 | 簡易直値 | ポジショナー1 | ポジショナー2 | ポジショナー3 | ポジショナー5 | フル直値 | フル直値2 |
| :--------------- | :----------- | :------- | :------------ | :------------ | :------------ | :------------ | :------- | :-------- |
| ○：有 / ×：無   | ○            | ○        | ○             | ○             | ×             | ○             | ○        | ○         |
</contents>
