ファイル名: RCON(MJ0384-8D)_page583

<overview>
本ページは「制振制御機能」に関するパラメーター設定の説明で構成されています。ページ全体は主にテキスト説明と表で構成されており、制振制御に必要な各パラメーターの一覧表が中心です。表はパラメーターNo.、セットNo.、名称、単位、初期値、入力範囲を示しています。テキスト部分では各パラメーターの詳細説明や設定上の注意点、振動数の測定方法などが記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 制振制御のパラメーター設定
制振制御に関するパラメーターを設定するための説明です。関連パラメーターの一覧を示しています。

##### 減衰特性係数1、2（パラメーターNo.97・98、101・102、105・106）
これらのパラメーターは変更しないことが推奨されています。

##### 固有振動数 [1/1,000Hz]（パラメーターNo.99、103、107）
積載物の固有振動数を設定します。専用ティーチングソフトの制振制御用周波数解析ツールを使う場合は、ツールから直接パラメーター設定が可能です。積載物の固有振動数に近い設定を行うことで、振動抑制性能が向上します。

##### 【参考】その他の振動測定方法
- 振動計（加速度ピックアップ）などの測定器を使用する
- ビデオ映像データより算出する

### 表
#### 制振制御のパラメーター一覧

| パラメーターNo. | パラメーターセットNo. | パラメーター名称           | 単位         | 初期値  | 入力範囲       |
| :-------------- | :--------------------- | :------------------------- | :----------- | :------ | :------------- |
| 97              | 1                      | 減衰特性係数1              | Rate         | 10      | 0～1,000       |
| 98              | 1                      | 減衰特性係数2              | Rate         | 1,000   | 0～1,000       |
| 99              | 1                      | 固有振動数                 | 1/1,000Hz    | 10,000  | 500～30,000    |
| 100             | 1                      | ノッチフィルターゲイン     | Rate         | 9,990   | 1～20,000      |
| 101             | 2                      | 減衰特性係数1              | Rate         | 10      | 0～1,000       |
| 102             | 2                      | 減衰特性係数2              | Rate         | 1,000   | 0～1,000       |
| 103             | 2                      | 固有振動数                 | 1/1,000Hz    | 10,000  | 500～30,000    |
| 104             | 2                      | ノッチフィルターゲイン     | Rate         | 9,990   | 1～20,000      |
| 105             | 3                      | 減衰特性係数1              | Rate         | 10      | 0～1,000       |
| 106             | 3                      | 減衰特性係数2              | Rate         | 1,000   | 0～1,000       |
| 107             | 3                      | 固有振動数                 | 1/1,000Hz    | 10,000  | 500～30,000    |
| 108             | 3                      | ノッチフィルターゲイン     | Rate         | 9,990   | 1～20,000      |
| 109             |                         | 制振No.初期値              |             | 0       | 0～3           |
| 110             |                         | サーボOFF時停止方法        |             | 0       | 0、1           |

</contents>
