ファイル名: RCON(MJ0384-8D)_page646

<overview>
このページは、ACサーボモーター仕様限定のパラメーター詳細に関する内容で構成されています。主に表形式で、サーボゲイン番号、位置フィードフォワードゲイン、速度ループ比例ゲイン、速度ループ積分ゲイン、トルクフィルター時定数、電流制御帯域番号などのパラメーターNo.120～137までの一覧が示されています。テキストはパラメーターの名称、単位、入力範囲、工場出荷時の初期値に関する説明が中心です。グラフや図はなく、表がメインの構成です。
</overview>

<contents>
### テキスト
#### パラメーターの詳細（パラメーターNo.120～137）
ACサーボモーター仕様限定のパラメーターについて、以下の項目が示されています。
- サーボゲイン番号
- 位置フィードフォワードゲイン
- 速度ループ比例ゲイン
- 速度ループ積分ゲイン
- トルクフィルター時定数
- 電流制御帯域番号

これらは「ゲインセット1」「ゲインセット2」「ゲインセット3」の3つのセットに分かれており、それぞれに対応するパラメーター番号が割り当てられています。

### 表
#### パラメーター一覧（No.120～137）

| No.  | 名称                   | 単位 | 入力範囲                                                                                  | 工場出荷時の初期値       |
| :--- | :--------------------- | :--- | :---------------------------------------------------------------------------------------- | :----------------------- |
| 120  | サーボゲイン番号1       | －   | 0～31                                                                                    |                          |
| 121  | 位置フィードフォワードゲイン1 | －   | 0～100                                                                                   |                          |
| 122  | 速度ループ比例ゲイン1   | －   | 1～27,661 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         | アクチュエーターによる   |
| 123  | 速度ループ積分ゲイン1   | －   | 1～217,270 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         |                          |
| 124  | トルクフィルター時定数1 | －   | 0～2,500                                                                                |                          |
| 125  | 電流制御帯域番号1       | －   | 0～15                                                                                   |                          |
| 126  | サーボゲイン番号2       | －   | 0～31                                                                                    |                          |
| 127  | 位置フィードフォワードゲイン2 | －   | 0～100                                                                                   |                          |
| 128  | 速度ループ比例ゲイン2   | －   | 1～27,661 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         | アクチュエーターによる   |
| 129  | 速度ループ積分ゲイン2   | －   | 1～217,270 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         |                          |
| 130  | トルクフィルター時定数2 | －   | 0～2,500                                                                                |                          |
| 131  | 電流制御帯域番号2       | －   | 0～15                                                                                   |                          |
| 132  | サーボゲイン番号3       | －   | 0～31                                                                                    |                          |
| 133  | 位置フィードフォワードゲイン3 | －   | 0～100                                                                                   |                          |
| 134  | 速度ループ比例ゲイン3   | －   | 1～27,661 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         | アクチュエーターによる   |
| 135  | 速度ループ積分ゲイン3   | －   | 1～217,270 (24V ACサーボモーター仕様)<br>1～99,999,999 (200V ACサーボモーター仕様)         |                          |
| 136  | トルクフィルター時定数3 | －   | 0～2,500                                                                                |                          |
| 137  | 電流制御帯域番号3       | －   | 0～15                                                                                   |                          |

</contents>
