ファイル名: RCON(MJ0384-8D)_page665

<overview>
このページはパラメーター設定に関する説明で構成されています。主に3つのセクションに分かれており、各セクションは表形式でパラメーターのNo.、名称、単位、入力範囲、工場出荷時の初期値を示しています。テキスト部分では各パラメーターの機能説明と参照資料が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### ドライブレコーダー保存履歴数選択（パラメーターNo.211）
ドライブレコーダー機能で保存可能なアラーム履歴数を設定します。詳細は「SCON2取扱説明書（MJ0458）8.4 ドライブレコーダー機能」を参照してください。

#### ドライブレコーダーサンプリング周期（パラメーターNo.212）
ドライブレコーダー機能でデータを取得する周期を変更します。詳細は「SCON2取扱説明書（MJ0458）8.4 ドライブレコーダー機能」を参照してください。

#### 衝突判定電流値1、2、3（パラメーターNo.213、217、221）
設定した電流値以上かつ、パラメーターNo.215、219、223の“衝突判定時間1～3”で設定した時間に達したときに衝突を検出します。設定値が“0”の場合は無効となります。詳細は「SCON2取扱説明書（MJ0458）5.3 衝突検出」を参照してください。

### 表
#### ドライブレコーダー保存履歴数選択（パラメーターNo.211）

| No.  | 名称                     | 単位 | 入力範囲               | 工場出荷時の初期値 |
| :--- | :----------------------- | :--- | :--------------------- | :----------------- |
| 211  | ドライブレコーダー保存履歴数選択 | ―    | 0：3履歴<br>1：6履歴<br>2：12履歴 | 0                  |

#### ドライブレコーダーサンプリング周期（パラメーターNo.212）

| No.  | 名称                     | 単位 | 入力範囲   | 工場出荷時の初期値 |
| :--- | :----------------------- | :--- | :--------- | :----------------- |
| 212  | ドライブレコーダーサンプリング周期 | ms   | 1～1,000  | 10                 |

#### 衝突判定電流値1、2、3（パラメーターNo.213、217、221）

| No.  | 名称           | 単位 | 入力範囲                   | 工場出荷時の初期値 |
| :--- | :------------- | :--- | :------------------------- | :----------------- |
| 213  | 衝突判定電流値1 | %    | 0～アクチュエーターによる |                    |
| 217  | 衝突判定電流値2 | %    |                            | 100                |
| 221  | 衝突判定電流値3 | %    |                            |                    |
</contents>
