ファイル名: RCON(MJ0384-8D)_page666

<overview>
本ページはパラメーターの詳細に関する説明で構成されています。主にテキストと表で構成されており、衝突判定距離および衝突判定時間に関するパラメーター（No.214、218、222、215、219、223）の名称、単位、入力範囲、工場出荷時の初期値が表形式で示されています。テキスト部分では、各パラメーターの動作説明や設定値の意味、関連する他のパラメーターとの関係について詳細に解説しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 衝突判定距離 1、2、3（パラメーターNo.214、218、222）
仮想位置差分値（現在位置と仮想位置の差分の絶対値）が設定した衝突判定距離に達したとき、パラメーターNo.215、219、223の「衝突判定時間 1～3」のカウントを開始します。設定値が“0”の場合は無効となります。詳細は「SCON2取扱説明書（MJ0458）5.3 衝突検出」を参照してください。

#### 衝突判定時間 1、2、3（パラメーターNo.215、219、223）
パラメーターNo.213、217、221の「衝突判定電流値 1～3」またはパラメーターNo.214、218、222の「衝突判定距離 1～3」の設定値を超えた時点から時間のカウントを開始し、設定した時間に達すると衝突を検出します。

パラメーターNo.213、217、221「衝突判定電流値 1～3」とパラメーターNo.214、218、222「衝突判定距離 1～3」の両方を設定した場合は、両方の設定値を超えてから時間のカウントを始めます。

※パラメーターNo.213、217、221「衝突判定電流値 1～3」またはパラメーターNo.214、218、222「衝突判定距離 1～3」の設定値を下回った場合は、下回った時間分が減算されます。詳細は「SCON2取扱説明書（MJ0458）5.3 衝突検出」を参照してください。

### 表
#### 衝突判定距離 1、2、3（パラメーターNo.214、218、222）

| No.  | 名称           | 単位 | 入力範囲                     | 工場出荷時の初期値 |
| :--- | :------------- | :--- | :--------------------------- | :----------------- |
| 214  | 衝突判定距離 1 | mm   | 0.00～アクチュエーターによる |                   |
| 218  | 衝突判定距離 2 | mm   |                              | 5.00              |
| 222  | 衝突判定距離 3 | mm   |                              |                   |

#### 衝突判定時間 1、2、3（パラメーターNo.215、219、223）

| No.  | 名称           | 単位 | 入力範囲     | 工場出荷時の初期値 |
| :--- | :------------- | :--- | :----------- | :----------------- |
| 215  | 衝突判定時間 1 | ms   |              |                    |
| 219  | 衝突判定時間 2 | ms   | 1～65535     | 5                  |
| 223  | 衝突判定時間 3 | ms   |              |                    |
</contents>
