ファイル名: RCON(MJ0384-8D)_page684

<overview>
本ページは「8.4.3 特殊パラメーター一覧」のセクションで構成されています。主にテキスト説明と表で構成されており、特殊パラメーターの名称、単位、入力範囲、工場出荷時の初期値、掲載項目が一覧形式で示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 8.4.3 特殊パラメーター一覧
特殊パラメーター一覧表を以下に記載しています。

### 表
#### 特殊パラメーター一覧表

| 名称                         | 単位   | 入力範囲                          | 工場出荷時の初期値       | 掲載項 |
|------------------------------|--------|----------------------------------|--------------------------|--------|
| ERR_C 発生時状態ラッチ       | ―      | 0：無効<br>1：有効               | 0：無効                  | 8.4.4 (1) |
| ERR_C 発生時サーボ OFF       | ―      | 0：有効<br>1：無効               | 0：有効                  | 8.4.4 (2) |
| 速度単位 (直接数値指定モードのみ) | mm/s   | 0：[1.0mm/s]<br>1：[0.1mm/s]     | 0：[1.0mm/s]             | 8.4.4 (3) |
| 通信リトライ回数             | ―      | 0～6                             | 2                        | 8.4.4 (4) |
| MON 信号                    | ―      | 0：有効<br>1：無効               | 0：有効                  | 8.4.4 (5) |
| カレンダー機能               | ―      | 0：無効<br>1：有効               | 1：有効                  | 8.4.4 (6) |
| ドライバーシャットダウン解除遅延時間 [ms] | ms     | 0～65,535                       | 5                        | 8.4.4 (7) |
| 電源ユニット通信リトライ回数 | ―      | 0～7                             | 3                        | 8.4.4 (8) |
| 電源ユニットモニター種別     | ―      | 0～6                             | 0：出力電圧              | 8.4.4 (9) |
| 電源ユニット接続台数         | ―      | 0：使用しない<br>1～5            | 0：不使用                | 8.4.4 (10) |
| 初期化内部通信待ち時間       | ―      | 0～65,535                       | 0                        | 8.4.4 (11) |
| イネーブル有効               | ―      | 0：無効<br>1：有効               | 0：無効                  | 8.4.4 (12) |
| バイトスワップ               | ―      | 0：無効<br>1：有効               | 0：無効                  | 8.4.4 (13) |
| W ワードデータワードスワップ | ―      | 0：無効<br>1：有効               | 0：無効                  | 8.4.4 (14) |
| ゲートウェイ IP アドレス     | ―      | 0.0.0.0～255.255.255.255         | 192.168.0.1              | 8.4.4 (15) |
| ゲートウェイサブネットマスク | ―      | -0.0.0.0～255.255.255.255        | 255.255.255.0            | 8.4.4 (16) |
| UDP 検索用ポート番号         | ―      | 49,152～65,535                  | 49,152                   | 8.4.4 (17) |
| RCON-EC JOG スイッチ         | ―      | 0：無効                         | 0：無効                  | 8.4.4 (18) |
| HOLD/CLEAR 選択              | ―      | 0：HOLD<br>1：CLEAR              | 0：HOLD                  | 8.4.4 (19) |
</contents>
