ファイル名: RCON(MJ0384-8D)_page69

<overview>
このページは「ユニット接続制限事項」に関する内容で構成されています。  
主にテキスト部分と表部分で構成されており、テキストは制御可能な軸数に関する説明、表は各フィールドネットワークにおけるモード別の制御可能軸数を示しています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 参考
- 全軸同じ動作モードの場合の制御可能な軸数を示しています。
- オプションユニットを接続しない場合の数値です。

### 表
#### フィールドネットワーク別制御可能軸数（オプションユニット未接続時）

| フィールドネットワーク           | 直接数値指定モード | 簡易直値モード | ポジショナー1モード | ポジショナー2モード | ポジショナー3モード | ポジショナー5モード | フル直値モード | フル直値2モード |
| :------------------------------ | :----------------: | :------------: | :-----------------: | :-----------------: | :-----------------: | :-----------------: | :------------: | :-------------: |
| CC-Link                        | 16軸              | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 8軸           | 8軸            |
| CC-Link IE Field              | 16軸              | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 16軸          | 16軸           |
| CC-Link IE TSN                | 16軸              | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 16軸          | 16軸           |
| DeviceNet                    | 8軸               | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 4軸           | 4軸            |
| EtherCAT                     | 8軸               | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 4軸           | 4軸            |
| EtherNet/IP                  | 8軸               | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 4軸           | 4軸            |
| EtherNet/IP（フロントポート） | 16軸              | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 8軸           | 8軸            |
| PROFIBUS-DP                 | 8軸               | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 4軸           | 4軸            |
| PROFINET-IO                 | 8軸               | 16軸          | 16軸               | 16軸               | 16軸               | 16軸               | 4軸           | 4軸            |
</contents>
