ファイル名: RCON(MJ0384-8D)_page73

<overview>
このページは「2.1 基本仕様」のセクションで、RCONシステムの基本仕様について記載されています。ページ全体は主にテキストと表で構成されており、RCONシステムの電源仕様、耐環境性能、構成ユニット、動作条件などの詳細な仕様項目が表形式でまとめられています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 2.1 基本仕様
##### 2.1.1 RCONシステム基本仕様
RCONシステムの一般仕様について説明しています。

### 表
| 項目             | 仕様                                                                                              |
|------------------|-------------------------------------------------------------------------------------------------|
| 電源電圧         | DC24V±10%（モーター電源入力、制御電源ともに）※1<br>AC200-230V±10%（RCON-PS2-3への供給電源電圧） |
| 電源電流         | システム構成により異なる<br>※詳細は「2.2.1 電源容量」または「2.2.2 RCON-ECに接続可能な製品の電源仕様」参照 |
| 電源周波数       | 50/60Hz（200V系のみ）                                                                           |
| 電源容量         | 「2.2.1 電源容量」または「2.2.2 RCON-ECに接続可能な製品の電源仕様」参照                         |
| 突入電流         | 「2.2.4 突入電流」参照                                                                          |
| 瞬時停電耐性     | 24V系：24V電源による<br>200V系：制御電源は24V電源による<br>モーター電源については以下のとおり<br>20ms（50Hz）<br>16.6ms（60Hz） |
| 過電圧カテゴリー | 24V系：I<br>200V系：II                                                                             |
| 感電保護機構     | 24V系：クラスIII<br>200V系：クラスI                                                             |
| 漏れ電流         | 3.0mA以下（200V系のみ）                                                                          |
| 構成ユニット     | ゲートウェイユニット、ドライバーユニット、200V電源ユニット、SCON拡張ユニット、PIOユニット、PIO/SIO/SCON拡張ユニット、EC接続ユニット、簡易アブソユニット<br>※各ユニットの詳細は「3章 各ユニットの仕様」参照 |
| 停止/イネーブル動作 | ゲートウェイユニットのSTOP信号入力でRCONシステム一括遮断。各ドライバーユニット、EC接続ユニットは1軸ごと駆動源遮断可能なコネクターを搭載。 |
| 冷却方式         | 自然空冷、ファンユニットによる強制空冷                                                          |
| 使用周囲温度     | 0～55℃<br>ただし、簡易アブソユニットとSCON-CBは0～40℃<br>※詳細は「2.1.4 使用温度範囲」参照          |
| 使用周囲湿度     | 5%RH～85%RH、ただし結露・凍結なきこと                                                        |
| 保存周囲温度     | -20～70℃、ただし簡易アブソユニットは0～40℃                                                    |
| 使用雰囲気       | 腐食性ガスがないこと、とくに塵埃がひどくないこと                                              |
| 標高             | 1,000m以下                                                                                      |
| 耐振動           | 振動数10～57Hz / 振幅：0.075mm<br>振動数57～150Hz / 加速度：9.8m/s²<br>XYZ各方向 掃引時間：10分 掃引回数：10回 |
| 耐衝撃性         | 落下高さ800mm 1角3稜6面                                                                        |
</contents>
