ファイル名: RCON(MJ0384-8D)_page730

<overview>
本ページは「10.2 故障診断」章の一部であり、主にテキストと表で構成されています。内容は「10.2.2 位置決めや速度の精度がでない（正しい動作をしない）」および「10.2.3 異音や振動が発生する」という2つの故障診断項目について説明しています。各項目は「状況」「考えられる原因」「確認・対策」の3列からなる表形式で整理されています。図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### 10.2.2 位置決めや速度の精度がでない（正しい動作をしない）
位置決めや速度の精度が出ない場合の状況、原因、対策を詳細に説明しています。

#### 10.2.3 異音や振動が発生する
アクチュエーターからの異音や振動の発生原因と対策について解説しています。

### 表
#### 10.2.2 位置決めや速度の精度がでない（正しい動作をしない）

| 状況 | 考えられる原因 | 確認・対策 |
| :--- | :--- | :--- |
| 原点復帰すると途中で動作が完了してしまう。 | 当社の標準仕様の原点復帰動作は、メカエンドに押当たった後、反転し、原点位置で位置決め停止しています。したがって、負荷が大きい場合や干渉物に当たった場合などには、メカエンドまで達しない位置で、メカエンドと判定してしまう場合があります。<br>1) 定格を超える負荷質量が搭載されている。<br>2) 移動途中で干渉物に当っている。<br>3) アクチュエーターの固定方法、ボルトの片締めなどによりガイドにねじれ応力がある。<br>4) アクチュエーター自体の摺動抵抗が大きい。 | 1) 負荷を軽減してください。<br>2) 干渉物を取除いてください。<br>3) 固定ボルトをいったん緩めて、スライダー部がスムーズに動くか確認してください。スムーズに動く場合は、取付面の歪みなどがないか確認し、アクチュエーターの取扱説明書に記載されている取付け方法に従って、再度取付けを行ってください。<br>4) 当社まで問合せしてください。 |
| 起動・停止時に衝撃がある。 | 加減速度の設定が高すぎる。 | 加減速度の設定を低くしてください。 |
| 減速停止時にオーバーシュートが発生する。 | 負荷イナーシャが大きい。減速度の設定が高すぎる。 | 減速度の設定を低くしてください。 |
| 位置決め精度がでない。 | [8.3 サーボゲイン調整]参照 |  |
| 移動中に速度むらがある。 |  |  |
| 加減速がスムーズにできない（速度レスポンスが悪い）。 |  |  |
| 位置決めは完了するが位置決め完了信号PENDが出力されない。 | 位置決めスタート信号CSTRがOFFされていません。 | CSTR信号は、移動開始後のPEND信号のOFFなどにより、位置決め完了前にOFFしてください。 |

#### 10.2.3 異音や振動が発生する

| 状況 | 考えられる原因 | 確認・対策 |
| :--- | :--- | :--- |
| アクチュエーター自体から、異音や振動が発生する。 | 負荷の状態や、アクチュエーターの取付け状態、アクチュエーターを搭載する装置の剛性などあらゆる要因が考えられます。 | サーボ調整によって改善できる場合もあります。[8.3 サーボゲイン調整]参照 |
| 負荷が振動する。 | 1) 加減速度の設定が高すぎる。<br>2) 加減速の影響を受けやすい取付け構造や負荷を搭載している。 | 1) 加減速度の設定を下げてください。<br>2) 取付け構造や負荷を見直してください。 |
</contents>
