ファイル名: RCON(MJ0384-8D)_page739

<overview>
本ページは「簡易アラームコード」に関する説明で構成されています。テキスト部分では簡易アラームコードの概要と読み込み対象レジスターについて説明しています。表部分では各アラームコードのビットパターン（ALM8～ALM1）と対応する内容が詳細に示されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 10.4.2 簡易アラームコード
簡易アラームコードはアラーム発生時に、簡易直値、ポジショナー1～5の各モードの完了ポジションレジスター（PM8～PM1）に読み込まれます。  
○はON、●はOFFを示します。

### 表
#### 簡易アラームコード一覧

| ALM | ALM8 (PM8) | ALM4 (PM4) | ALM2 (PM2) | ALM1 (PM1) | バイナリーコード | 内容（カッコ内はアラームコード） |
|:---:|:----------:|:----------:|:----------:|:----------:|:----------------:|:---------------------------------|
| ●   | ●          | ●          | ●          | ●          | －               | 正常                            |
| ○   | ●          | ●          | ●          | ○          | 1                | 衝突検出（0DF）                 |
| ○   | ●          | ●          | ○          | ●          | 2                | サーボON状態でのソフトウェアリセット（090）<br>ティーチ時ポジションNo.異常（091）<br>移動中PWRT信号検出（092）<br>原点復帰未完了状態PWRT信号検出（093）<br>ソフトウェアリセット禁止状態でのソフトウェアリセット指令（097）<br>エンコーダーFRAM読書き後のサーボON指令（09C） |
| ○   | ●          | ●          | ○          | ○          | 3                | サーボOFF状態での移動指令（080）<br>原点復帰未完了状態でのポジション指令（082）<br>原点復帰未完了状態での絶対位置移動指令（083）<br>原点復帰実行中の移動指令（084）<br>移動時ポジションNo.異常（085）<br>位置指令情報データ異常（0A3）<br>指令減速度異常（0A7） |
| ○   | ●          | ○          | ●          | ●          | 4                | ファン異常検出（0D6）<br>PCB不整合（0F4） |
| ○   | ●          | ○          | ●          | ○          | 5                | 内部通信エラー（09B）<br>周期同期エラー（09F） |
| ○   | ●          | ○          | ○          | ●          | 6                | パラメーターデータ異常（0A1）<br>ポジションデータ異常（0A2）<br>未対応モーター・エンコーダー種別（0A8） |
| ○   | ●          | ○          | ○          | ○          | 7                | Z相位置異常エラー（0B5）<br>Z相検出タイムアウト（0B6）<br>磁極不確定（0B7）<br>励磁検出エラー（0B8）<br>原点センサー未検出（0BA）<br>原点復帰タイムアウト（0BE）<br>クリープセンサー未検出（0BF） |
| ○   | ○          | ●          | ●          | ●          | 8                | 実速度過大（0C0）<br>オーバーラン検出（0C2） |
</contents>
