ファイル名: RCON(MJ0384-8D)_page741

<overview>
本ページは「10.4 ドライバーユニット・簡易アブソユニットのアラームの原因と対策」章の一部であり、主にアラームコード一覧を示しています。ページ構成は以下の通りです。
- テキスト部分：アラームコードの説明、対応ドライバーユニットの種類の記号説明
- 表部分：アラームコードごとの名称、アラームレベル、対応ドライバー種別、参照ページを一覧表形式で詳細に記載
- グラフや図はなし
</overview>

<contents>
### テキスト
#### 10.4.3 アラームコード一覧
対応するドライバーユニットが限定される場合、その種類を示す記号をアラームコード欄に記載。記号がないアラームコードは全ドライバーユニット共通。
- P：パルスモーター・RCPシリーズ
- A：24V ACサーボモーター・RCAシリーズ、RCLシリーズ
- D：DCブラシレスモーター・RCDシリーズ
- S：200V ACサーボモーター・RCSシリーズ、ISシリーズ、NSシリーズなど

#### アラーム一覧表（コード順）

### 表
| アラームコード | アラーム名称                         | アラームレベル     | 対象ドライバー P | 対象ドライバー A | 対象ドライバー D | 対象ドライバー S | 参照ページ |
|:--------------:|:----------------------------------|:-----------------:|:----------------:|:----------------:|:----------------:|:----------------:|:----------:|
| 047            | 偏差オーバーエラー警告             | メッセージレベル  | ●                | ●                | ●                | -                | 10-18      |
| 048            | ドライバー過負荷警告               | メッセージレベル  | ●                | ●                | ●                | ●                | 10-18      |
| 049            | 衝突警告                           | メッセージレベル  | ●                | -                | -                | -                | 10-18      |
| 04A            | 推定寿命経過警告                   | メッセージレベル  | ●                | ●                | ●                | ●                | 10-18      |
| 04C            | ファン回転数低下                   | メッセージレベル  | ●                | ●                | ●                | ●                | 10-18      |
| 04D            | ファン通電駆動時間オーバー         | メッセージレベル  | -                | -                | -                | ●                | 10-18      |
| 04E            | 移動回数目標値オーバー             | メッセージレベル  | ●                | ●                | ●                | ●                | 10-18      |
| 04F            | 走行距離目標値オーバー             | メッセージレベル  | ●                | ●                | ●                | ●                | 10-18      |
| 068            | SRAMアクセス異常                   | メッセージレベル  | -                | -                | -                | ●                | 10-18      |
| 06B            | メンテナンス情報データ異常         | メッセージレベル  | ●                | -                | -                | -                | 10-19      |
| 080            | サーボOFF時移動指令                 | 動作解除レベル    | -                | -                | -                | ●                | 10-20      |
| 082            | 原点復帰未完了状態でのポジション移動指令 | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 083            | 原点復帰未完了時数値指令           | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 084            | 原点復帰実行中の移動指令           | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 085            | 移動時ポジションNo.異常            | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 086            | パルス列入力有効時の移動指令       | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 090            | サーボON状態でのソフトウェアリセット指令 | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 091            | ティーチ時ポジションNo.異常        | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 092            | 移動中PWRT信号検出                 | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 093            | 原点復帰未完了状態PWRT信号検出     | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 096            | 原点復帰エラー                     | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-20      |
| 097            | ソフトウェアリセット禁止状態でのソフトウェアリセット指令 | コールドスタートレベル | ●                | ●                | -                | ●                | 10-27      |
| 09B            | 内部通信エラー                     | コールドスタートレベル | ●                | ●                | ●                | ●                | 10-27      |
| 09F            | 周期同期エラー                     | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-21      |
| 0A1            | パラメーターデータ異常             | コールドスタートレベル | ●                | ●                | ●                | ●                | 10-27      |
| 0A2            | ポジションデータ異常               | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-21      |
| 0A3            | 位置指令情報データ異常             | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-21      |
| 0A7            | 指令減速度異常                     | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-22      |
| 0A8            | 未対応モーター・エンコーダー種別   | コールドスタートレベル | ●                | ●                | ●                | ●                | 10-27      |
| 0AB            | 指令速度異常                     | 動作解除レベル    | ●                | ●                | ●                | ●                | 10-22      |
</contents>
