ファイル名: RCON(MJ0384-8D)_page759

<overview>
本ページは「ドライバーユニット・簡易アブソユニットのアラームの原因と対策」に関する内容で構成されています。  
主に表形式で、アラームコード、アラーム名称、原因および対策が一覧で示されています。  
テキストは各アラームの詳細な説明と対策方法が記載されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ドライバーユニット・簡易アブソユニットのアラーム原因と対策一覧

| アラームコード | アラーム名称                     | 原因/対策                                                                                                                                                                                                                   |
|:--------------|:------------------------------|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 0E8           | A、B相断線                     | 原因：エンコーダー信号を正常に検出できない。<br>1) アクチュエーター接続ケーブル、アクチュエーター側付属ケーブルの断線、コネクタ接続不良<br>2) エンコーダー自体の故障<br>3) 接続されていない軸のパラメーターNo.158 “有効/無効軸選択”が0（有効）になっている<br>対策：1) コネクター部の断線有無や接続状況を確認<br>2) ケーブル正常ならエンコーダー故障の可能性<br>3) パラメーターNo.158を1（無効）に設定<br>※アクチュエーター未接続の場合、ゲートウェイパラメーター設定ツールで予約軸に設定やドライバーユニットを「設定なし」にしてもアラーム発生 |
| 0EB           | バッテリーレスアブソエンコーダー異常検出 | 原因：バッテリーレスアブソエンコーダーが位置情報を正常に検出できない。<br>対策：コネクター部の断線有無や接続状況を確認。ケーブル正常ならエンコーダー故障の可能性あり。問い合わせ推奨。                                                                                   |
| 0EC           | PS相断線                       | 原因：アクチュエーター接続ケーブルのコネクター部の緩み、断線の可能性。<br>対策：接続状態の確認と導通チェックを行い、正常なら問い合わせ。                                                                                                                               |
| 0F0           | ドライバーロジックエラー         | 原因：CPUが正常に動作していない。<br>1) CPU故障<br>2) ノイズによる誤動作<br>対策：電源再投入しても再現する場合は問い合わせ。                                                                                                                                            |
| 0F4           | PCB不整合                      | 原因：<RCON-PC>起動時チェックで接続モーターに基板未対応。アクチュエーターとドライバーユニットの不整合可能性。<RCON-AC>パラメーター設定のエンコーダー種別が簡易アブソユニット非対応値で接続した場合。<br>対策：型式確認。エラー発生時は問い合わせ。                                                   |
| 0F5           | 不揮発性メモリー書込みベリファイ異常 | 原因：不揮発性メモリーにデータ書込み時、メモリー内データと書込みデータの不一致検出（ベリファイ異常）。<br>対策：電源再投入しても再現する場合は問い合わせ。                                                                                                               |
| 0F6           | 不揮発性メモリー書込みタイムアウト | 原因：不揮発性メモリー書込み時に規定時間内に応答なし（メモリー故障）。<br>対策：電源再投入しても再現する場合は問い合わせ。                                                                                                                                                |
| 0F8           | 不揮発性メモリーデータ破壊        | 原因：起動時の不揮発性メモリーチェックで異常データ検出（メモリー故障）。<br>対策：電源再投入しても再現する場合は問い合わせ。                                                                                                                                           |
</contents>
