ファイル名: RCON(MJ0384-8D)_page821

<overview>
本ページは「RCP6シリーズ」アクチュエーターの仕様一覧を示す表で構成されています。テキストは主に表のタイトルや注釈部分にあり、表部分がページの大半を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP6シリーズの各種アクチュエーターの仕様を詳細に示した表です。

注記：
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度[mm/s] | 最高速度[mm/s] | 最大加減速度[G] | 最小押付け力[N] | 最大押付け力[N] | 定格押付け速度[mm/s] |
|--------------------------|--------|----------|-----------------------|------------|------------|----------------|----------------|-----------------|------------------|------------------|-----------------------|
| RCP6 (ロッドタイプ)       | RA7C RA7R | ボールねじ | 8192                  | 24         | 水平       | 30             | RA7C:860 RA7R:800 | 1               | 52               | 182              | 20                    |
|                          |        |          |                       |            | 垂直       |                | 640            | 0.5             |                  |                  |                       |
|                          |        |          |                       | 16         | 水平       | 20             | RA7C:700 RA7R:560 | 1               | 78               | 273              |                       |
|                          |        |          |                       |            | 垂直       |                | 560            | 0.5             |                  |                  |                       |
|                          |        |          |                       | 8          | 水平       | 10             | 420            | 1               | 156              | 547              |                       |
|                          |        |          |                       |            | 垂直       |                | 350            | 0.5             |                  |                  |                       |
|                          |        |          |                       | 4          | 水平       | 5              | RA7C:210 RA7R:175 | 1               | 312              | 1094             |                       |
|                          |        |          |                       |            | 垂直       |                | 175            | 0.5             |                  |                  |                       |
|                          | RA8C RA8R | ボールねじ | 8192                  | 20         | 水平       | 25             | RA8C:600 RA8R:400 | 0.2             | 167              | 500              | 10                    |
|                          |        |          |                       |            | 垂直       |                | RA8C:450 RA8R:400 |                 |                  |                  |                       |
|                          |        |          |                       | 10         | 水平       | 13             | RA8C:300 RA8R:200 | 0.2             | 333              | 1000             |                       |
|                          |        |          |                       |            | 垂直       |                | RA8C:250 RA8R:200 |                 |                  |                  |                       |
|                          |        |          |                       | 5          | 水平       | 7              | RA8C:150 RA8R:100 | 0.1             | 667              | 2000             |                       |
|                          |        |          |                       |            | 垂直       |                |                |                 |                  |                  |                       |
| RCP6 (ラジアルシリンダー) | RRA4C RRA4R | ボールねじ | 8192                  | 16         | 水平       | 20             | RRA4C:1120(at 60～360st) 1080(at 410st) RRA4R:840 | 1               | 21               | 48               | 20                    |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 10         | 水平       | 13             | RRA4C:700(at 60～360st) 685(at 410st) RRA4R:610 | 1               | 22               | 77               |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 5          | 水平       | 7              | 350(at 60～360st) 340(at 410st) | 1               | 44               | 155              |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 2.5        | 水平       | 4              | 175(at 60～360st) 170(at 410st) | 1               | 89               | 310              |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          | RRA6C RRA6R | ボールねじ | 8192                  | 20         | 水平       | 25             | 800            | 1               | 16               | 56               | 20                    |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 12         | 水平       | 15             | 700            | 1               | 26               | 93               |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 6          | 水平       | 8              | 450            | 1               | 53               | 185              |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 3          | 水平       | 4              | 225(at 65～365st) 220(at 415st) | 1               | 106              | 370              |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          | RRA7C RRA7R | ボールねじ | 8192                  | 24         | 水平       | 30             | 860            | 1               | 52               | 182              | 20                    |
|                          |        |          |                       |            | 垂直       |                | 640            | 0.5             |                  |                  |                       |
|                          |        |          |                       | 16         | 水平       | 20             | RRA7C:700 RRA7R:560 | 1               | 78               | 273              |                       |
|                          |        |          |                       |            | 垂直       |                | 560            | 0.5             |                  |                  |                       |
|                          |        |          |                       | 8          | 水平       | 10             | RRA7C:420 RRA7R:350 | 1               | 156              | 547              |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
|                          |        |          |                       | 4          | 水平       | 5              | RRA7C:210 RRA7R:175 | 1               | 312              | 1094             |                       |
|                          |        |          |                       |            | 垂直       |                |                | 0.5             |                  |                  |                       |
</contents>
