ファイル名: RCON(MJ0384-8D)_page823

<overview>
このページは「RCP6シリーズ」のアクチュエーター仕様一覧を示しています。主に表形式で構成されており、各アクチュエーターのタイプ、送りねじ、エンコーダーパルス数、リード、取付け方向、最低速度、最高速度、最大加減速度、最小押付力、最大押付力、定格押付け速度の仕様が詳細に記載されています。テキストは表の注釈として、最高速度・最大加減速度の条件について説明があります。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付け速度 [mm/s] |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| RCP6 (ラジアルシリンダー) | RRA8R | ボールねじ | 8192 | 5 | 水平/垂直 | 7 | 100(at 50～450st) 90(at 500st) 80(at 550st) 70(at 600st) 60(at 650st) 55(at 700st) | 0.1 | 667 | 2000 | 10 |
|  | WRA10C / WRA10R | ボールねじ | 8192 | 16 | 水平 | 20 | 700 | WRA10C:1 WRA10R:0.7 | 21 | 48 |  |
|  |  |  |  | 10 | 水平 | 13 | 525(at 50～450st) 490(at 500st) | 1 | 22 | 77 |  |
|  |  |  |  | 5 | 水平 | 7 | 350(at 50～400st) 290(at 450st) 240(at 500st) | 1 | 44 | 155 | 20 |
|  |  |  |  | 5 | 垂直 |  | 260(at 50～450st) 240(at 500st) | 0.5 |  |  |  |
|  |  |  |  | 2.5 | 水平 | 4 | 175(at 50～400st) 145(at 450st) 120(at 500st) | 1 | 89 | 310 |  |
|  |  |  |  | 2.5 | 垂直 |  | WRA10C:175(at 50～400st) 145(at 450st) 120(at 500st) WRA10R:150(at 50～400st) 145(at 450st) 120(at 500st) | 0.5 |  |  |  |
| RCP6 (ワイドラジアルシリンダー) | WRA12C / WRA12R | ボールねじ | 8192 | 20 | 水平 | 25 | 800 | 1 | 16 | 56 | 20 |
|  |  |  |  | 12 | 水平 | 15 | 560 | 1 | 26 | 93 |  |
|  |  |  |  | 6 | 水平 | 8 | 400(at 50～450st) 375(at 500st) | 1 | 53 | 185 |  |
|  |  |  |  | 6 | 垂直 |  | WRA12C:340 WRA12R:280 | 0.5 |  |  |  |
|  |  |  |  | 3 | 水平 | 4 | 225(at 50～400st) 220(at 450st) 185(at 500st) | 1 | 106 | 370 |  |
|  |  |  |  | 3 | 垂直 |  | 200(at 50～450st) 185(at 500st) | 0.5 |  |  |  |
|  | WRA14C / WRA14R | ボールねじ | 8192 | 24 | 水平 | 30 | 630 | 1 | 52 | 182 | 20 |
|  |  |  |  | 16 | 水平 | 20 | 560 | 1 | 78 | 273 |  |
|  |  |  |  | 8 | 水平 | 10 | WRA14C:420(at 50～550st) 395(at 600st) WRA14R:350 | 1 | 156 | 547 |  |
|  |  |  |  | 8 | 垂直 |  | 210 | 0.5 |  |  |  |
|  |  |  |  | 4 | 水平 | 5 | WRA14C:210(at 50～550st) 195(at 600st) WRA14R:175 | 1 | 312 | 1094 |  |
|  |  |  |  | 4 | 垂直 |  | 130 | 0.5 |  |  |  |

#### 注釈
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。（高出力設定が無関係の機種も一部あります）

</contents>
