ファイル名: RCON(MJ0384-8D)_page826

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCP6シリーズの各種アクチュエーターの仕様を詳細に示した表で構成されています。テキストは見出しと注釈のみで、ページ全体は表形式のデータが主体です。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP6シリーズのアクチュエーター仕様を一覧表で示す。

注記：
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は高出力機能有効時の値である。
- 高出力設定が無関係の機種も一部存在する。

### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダパルス数 | リード[mm] | 取付け方向 | 最低速度[mm/s] | 最高速度[mm/s] | 最大加減速度[G] | 最小押付け力[N] | 最大押付け力[N] | 定格押付け速度[mm/s] |
|--------------------------|--------|----------|---------------------|------------|------------|----------------|----------------|-----------------|------------------|------------------|-----------------------|
| **RCP6W (防塵防滴ロッドタイプ)** | RA8C RA8R | ボールねじ | 8192 | 20 | 水平 | 25 | 350 | 0.2 | 250 | 500 | 10 |
|                          |        |          |                     |            | 垂直 |    | 330 |     |     |     |     |
|                          |        |          |                     |            | 水平/垂直 |    | 300 (環境温度5℃以下の場合) | | | | |
|                          |        |          |                     | 10         | 水平/垂直 | 13 | 200 | 0.2 | 500 | 1000 | 10 |
|                          |        |          |                     |            | 水平/垂直 |    | 170 (環境温度5℃以下の場合) | | | | |
|                          |        |          |                     | 5          | 水平/垂直 | 7 | 100 | 0.1 | 1000 | 2000 | 10 |
|                          |        |          |                     |            | 水平/垂直 |    | 80 (環境温度5℃以下の場合) | | | | |
| **RRA4C RRA4R**           | ボールねじ | 8192 | 10 | 水平 | 13 | 525 | 1 | 33 | 77 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 435 | | | | |
|                          |        |          |                     | 5          | 水平 | 7 | 350 (at 50～350st) | 1 | 66 | 155 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 340 (at 400st) | | | | |
|                          |        |          |                     | 2.5        | 水平 | 4 | 175 (at 50～350st) | 1 | 133 | 310 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 170 (at 400st) | | | | |
|                          |        |          |                     |            | 水平 |    | 150 | 1 | | | |
|                          |        |          |                     |            | 垂直 |    | 105 (環境温度5℃以下の場合) | 0.5 | | | |
| **RCP6W (防塵防滴ラジアルシリンダー)** | RRA6C RRA6R | ボールねじ | 8192 | 12 | 水平 | 15 | 630 | 1 | 40 | 93 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 525 | | | | |
|                          |        |          |                     | 6          | 水平 | 8 | 420 | 1 | 79 | 185 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 370 | | | | |
|                          |        |          |                     |            | 水平 |    | 315 (環境温度5℃以下の場合) | 0.5 | | | |
|                          |        |          |                     | 3          | 水平 | 4 | 210 | 1 | 159 | 370 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 105 (環境温度5℃以下の場合) | | | | |
| **RRA7C RRA7R**           | ボールねじ | 8192 | 16 | 水平 | 20 | 420 | 1 | 117 | 273 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 280 (環境温度5℃以下の場合) | | | | |
|                          |        |          |                     | 8          | 水平 | 10 | 350 | 1 | 234 | 547 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 280 (環境温度5℃以下の場合) | | | | |
|                          |        |          |                     | 4          | 水平 | 5 | 140 | 1 | 469 | 1094 | 20 |
|                          |        |          |                     |            | 垂直 | 0.5 | 105 (環境温度5℃以下の場合) | | | | |

</contents>
