ファイル名: RCON(MJ0384-8D)_page827

<overview>
本ページは「RCP6シリーズ」アクチュエーターの仕様一覧を示す表で構成されています。テキストは主に表のタイトルや注釈部分にあり、表部分がページの大半を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP6シリーズのアクチュエーター仕様をまとめた表です。

注記：
- RCP6/RCP6CR/RCP6Wの最高速度・最大加減速度は、高出力機能有効時の値です。（高出力設定が無関係の機種も一部あります）

### 表
#### RCP6シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
|--------------------------|--------|----------|-----------------------|------------|------------|-----------------|-----------------|------------------|------------------|------------------|------------------------|
| RCP6W (防塵防滴ラジアルシリンダー) | RRA8C RRA8R | ボールねじ | 8192 | 20 | 水平 | 25 | 280(at 50st) 350(at 100～500st) 320(at 550st) 280(at 600st) 240(at 650st) 220(at 700st) 210(環境温度5℃以下の場合) | 0.2 | 250 | 500 | - |
|                          |        |          |       |    | 垂直 |   | 280(at 50st) 330(at 100～500st) 320(at 550st) 280(at 600st) 240(at 650st) 220(at 700st) |     |     |     |   |
|                          |        |          |       |    | 水平/垂直 |   |   |     |     |     |   |
|                          |        |          |       | 10 | 水平/垂直 | 13 | 200(at 50～450st) 180(at 500st) 160(at 550st) 140(at 600st) 120(at 650st) 110(at 700st) | 0.2 | 500 | 1000 | 10 |
|                          |        |          |       |    |    |    | 130(at 50～600st) 120(at 650st) 110(at 700st) (環境温度5℃以下の場合) |     |     |     |   |
|                          |        |          |       | 5  | 水平/垂直 | 7  | 100(at 50～450st) 90(at 500st) 80(at 550st) 70(at 600st) 60(at 650st) 55(at 700st) | 0.1 | 1000 | 2000 | - |
|                          |        |          |       |    |    |    | 60(at 50～650st) 55(at 700st) (環境温度5℃以下の場合) |     |     |     |   |
| RCP6W (防塵防滴ワイドラジアルシリンダー) | WRA10C WRA10R | ボールねじ | 8192 | 10 | 水平 | 13 | 525(at 50～450st) 490(at 500st) 350 (環境温度5℃以下の場合) | 1 | 33 | 77 | - |
|                          |        |          |       | 5  | 水平 | 7  | 350(at 50～400st) 290(at 450st) 240(at 500st) | 1 | 66 | 155 | 20 |
|                          |        |          |       |    | 垂直 |  | 215 | 0.5 |     |     |   |
|                          |        |          |       |    | 水平 |  | 215 (環境温度5℃以下の場合) | 1 |     |     |   |
|                          |        |          |       |    | 垂直 |  | 0.5 |     |     |     |   |
|                          |        |          |       | 2.5| 水平 | 4  | 175(at 50～400st) 145(at 450st) 120(at 500st) | 1 | 133 | 310 | - |
|                          |        |          |       |    | 垂直 |    | 150(at 50～400st) 145(at 450st) 120(at 500st) | 0.5 |     |     |   |
|                          |        |          |       |    | 水平 |    | 65 (環境温度5℃以下の場合) | 1 |     |     |   |
|                          |        |          |       |    | 垂直 |    | 0.5 |     |     |     |   |
|                          | WRA12C WRA12R | ボールねじ | 8192 | 12 | 水平 | 15 | 560 320 (環境温度5℃以下の場合) | 1 | 40 | 93 | 20 |

</contents>
