ファイル名: RCON(MJ0384-8D)_page837

<overview>
本ページは「RCP5シリーズ」アクチュエーターの仕様一覧を示す表で構成されています。テキストは表のタイトルと注釈のみで、主要部分は詳細な仕様を示す大きな表です。表はアクチュエーターシリーズごとにタイプ、送りねじ、エンコーダーパルス数、リード長さ、取付方向、最低速度、最高速度、最大加減速度、最小押付力、最大押付力、定格押付け速度の項目で構成されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### RCP5シリーズ アクチュエーターの仕様一覧
本表はRCP5シリーズの各タイプのアクチュエーターに関する詳細な仕様をまとめています。

注記：
- RCP5/RCP5CR/RCP5Wの最高速度・最大加減速度は、高出力機能有効時の値です。
- 高出力設定が無関係の機種も一部あります。

### 表
#### RCP5シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度 [mm/s] | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付力 [N] | 最大押付力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :----- | :------- | :------------------- | :--------- | :---------- | :-------------- | :-------------- | :--------------- | :-------------- | :-------------- | :-------------------- |
| RCP5W (防塵防滴ロッドタイプ) | RA7C | ボールねじ | 800 | 4 | 水平 | 5 | 150 (環境温度5℃以下の場合) | 1 | 375 | 875 | 20 |
|  |  |  |  | 4 (モーター種類:56SP) | 垂直 | 5 | 125 (環境温度5℃以下の場合) | 0.5 |  |  |  |
|  |  |  |  |  | 垂直 | 5 | 80 | 0.5 | 515 | 1030 |  |
|  |  |  |  | 20 | 水平 | 25 | 280(at 50st)<br>405(at 100st)<br>480(at 150～400st)<br>440(at 450st)<br>360(at 500st)<br>320(at 550st)<br>280(at 600st)<br>240(at 650st)<br>220(at 700st) | 0.2 | 167 | 500 |  |
|  |  |  |  |  | 垂直 |  | 280(at 50st)<br>360(at 100～500st)<br>320(at 550st)<br>280(at 600st)<br>240(at 650st)<br>220(at 700st) |  |  |  |  |
|  | RA8C | ボールねじ | 800 | 10 | 水平 | 13 | 240(at 50～400st)<br>220(at 450st)<br>180(at 500st)<br>160(at 550st)<br>140(at 600st)<br>120(at 650st)<br>110(at 700st) | 0.2 | 333 | 1000 | 10 |
|  |  |  |  |  | 垂直 |  | 200(at 50～450st)<br>180(at 500st)<br>160(at 550st)<br>140(at 600st)<br>120(at 650st)<br>110(at 700st) |  |  |  |  |
|  |  |  |  | 5 | 水平 | 7 | 210(at 50～450st)<br>180(at 500st)<br>160(at 550st)<br>140(at 600st)<br>120(at 650st)<br>110(at 700st) (環境温度5℃以下の場合) | 0.1 | 667 | 2000 |  |
|  |  |  |  |  | 垂直 |  | 175(at 50～500st)<br>160(at 550st)<br>140(at 600st)<br>120(at 650st)<br>110(at 700st) (環境温度5℃以下の場合) |  |  |  |  |
|  |  |  |  |  | 水平 |  | 120(at 50～400st)<br>110(at 450st)<br>90(at 500st)<br>80(at 550st)<br>70(at 600st)<br>60(at 650st)<br>55(at 700st) |  |  |  |  |
|  |  |  |  |  | 垂直 |  | 100(at 50～450st)<br>90(at 500st)<br>80(at 550st)<br>70(at 600st)<br>60(at 650st)<br>55(at 700st) |  |  |  |  |

</contents>
