ファイル名: RCON(MJ0384-8D)_page849

<overview>
本ページは「RCP2シリーズ」のアクチュエーター仕様一覧を示す表で構成されています。テキスト部分はタイトルとシリーズ名のみで、ページ全体は詳細な仕様を示す大きな表が占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCP2シリーズの各種アクチュエーターの仕様を一覧表形式で示しています。

### 表
#### RCP2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | 送りねじ | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最低速度[mm/s] | 最高速度[mm/s] | 最大加減速度[G] | 最小押付け力[N] | 最大押付け力[N] | 定格取付け速度[mm/s] |
|--------------------------|--------|----------|----------------------|------------|------------|----------------|----------------|-----------------|-----------------|-----------------|-----------------------|
| RCP2 (スライダータイプ)  |        |          |                      |            |            |                |                |                 |                 |                 |                       |
|                          | SA7C   | ボールねじ | 800                  | 16         | 水平       | 20             | 533(at 50～700st) 480(at 800st) | 0.3             | 90              | 250             | 20                    |
|                          |        |          |                      |            | 垂直       |                | 480(at 800st)  | 0.2             |                 |                 |                       |
|                          |        |          |                      | 8          | 水平       | 10             | 266(at 50～700st) 240(at 800st) | 0.3             | 150             | 500             |                       |
|                          |        |          |                      |            | 垂直       |                |                | 0.2             |                 |                 |                       |
|                          |        |          |                      | 4          | 水平/垂直 | 5              | 133(at 50～700st) 120(at 800st) | 0.2             | 280             | 800             |                       |
|                          | SA7R   | ボールねじ | 800                  | 16         | 水平       | 20             | 533(at 50～700st) 480(at 800st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                | 400            | 0.2             |                 |                 |                       |
|                          |        |          |                      | 8          | 水平       | 10             | 266(at 50～700st) 240(at 800st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                |                | 0.2             |                 |                 |                       |
|                          |        |          |                      | 4          | 水平/垂直 | 5              | 133(at 50～700st) 120(at 800st) | 0.2             |                 |                 |                       |
|                          | SS7C   | ボールねじ | 800                  | 12         | 水平       | 15             | 600(at 50～500st) 470(at 600st) | 0.3             | 40              | 115             | 20                    |
|                          |        |          |                      |            | 垂直       |                |                | 0.2             |                 |                 |                       |
|                          |        |          |                      | 6          | 水平       | 8              | 300(at 50～500st) 230(at 600st) | 0.3             | 70              | 210             |                       |
|                          |        |          |                      |            | 垂直       |                |                | 0.2             |                 |                 |                       |
|                          |        |          |                      | 3          | 水平/垂直 | 4              | 150(at 50～500st) 115(at 600st) | 0.2             | 140             | 330             |                       |
|                          | SS7R   | ボールねじ | 800                  | 12         | 水平       | 15             | 600(at 50～500st) 470(at 600st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                | 440            | 0.2             |                 |                 |                       |
|                          |        |          |                      | 6          | 水平       | 8              | 250(at 50～500st) 230(at 600st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                |                | 0.2             |                 |                 |                       |
|                          |        |          |                      | 3          | 水平/垂直 | 4              | 105            | 0.2             |                 |                 |                       |
|                          | SS8C   | ボールねじ | 800                  | 20         | 水平       | 25             | 666(at 50～800st) 625(at 900st) 515(at 1000st) | 0.3             | 50              | 180             | 20                    |
|                          |        |          |                      |            | 垂直       |                | 600(at 50～900st) 515(at 1000st) | 0.2             |                 |                 |                       |
|                          |        |          |                      | 10         | 水平       | 13             | 333(at 50～800st) 310(at 900st) 255(at 1000st) | 0.3             | 95              | 320             |                       |
|                          |        |          |                      |            | 垂直       |                | 300(at 50～900st) 255(at 1000st) | 0.2             |                 |                 |                       |
|                          |        |          |                      | 5          | 水平       | 7              | 165(at 50～800st) 155(at 900st) 125(at 1000st) | 0.2             | 180             | 630             |                       |
|                          |        |          |                      |            | 垂直       |                | 150(at 50～900st) 125(at 1000st) |                 |                 |                 |                       |
|                          | SS8R   | ボールねじ | 800                  | 20         | 水平       | 25             | 600(at 50～900st) 515(at 1000st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                | 333            | 0.2             |                 |                 |                       |
|                          |        |          |                      | 10         | 水平       | 13             | 300(at 50～900st) 255(at 1000st) | 0.3             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                | 250            | 0.2             |                 |                 |                       |
|                          |        |          |                      | 5          | 水平       | 7              | 160(at 50～800st) 155(at 900st) 125(at 1000st) | 0.2             |                 |                 |                       |
|                          |        |          |                      |            | 垂直       |                | 140            |                 |                 |                 |                       |
|                          | HS8C HS8R | ボールねじ | 800                  | 30         | 水平       | 100            | 1200(at 50～800st) 1000(at 900st) 800(at 1000st) | 0.5             | -               | -               | -                     |
|                          |        |          |                      |            | 垂直       |                | 750            | 0.2             |                 |                 |                       |

</contents>
