ファイル名: RCON(MJ0384-8D)_page854

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCA2シリーズの各種アクチュエーターの仕様を表形式でまとめています。ページ全体は表部分のみで構成されており、テキストやグラフ、図は含まれていません。表はアクチュエーターシリーズごとにタイプ、モーター出力、エンコーダーパルス数、リード長さ、取付方向、速度・加速度・押付力などの性能指標を詳細に示しています。
</overview>

<contents>
### 表
#### RCA2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付方向 | 最低速度(mm/s) | 最高速度(mm/s) | 最大加減速度(G) | 最小押付力(N) | 最大押付力(N) | 定格押付け速度(mm/s) |
|--------------------------|--------|-----------------|-----------------------|------------|----------|----------------|----------------|-----------------|---------------|---------------|-----------------------|
| TCA3NA TWA3NA TFA3NA     | ボールねじ | 10              | 1048                  | 4          | 水平     | 4              | 200            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 2          | 水平     | 2              | 100            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 1          | 水平/垂直 | 1              | 50             | 0.2             | -             | -             | -                     |
|                          | すべりねじ |                 |                       | 4          | 水平/垂直 | 4              | 200            | 0.2             | -             | -             | -                     |
|                          |        |                 |                       | 2          | 水平/垂直 | 2              | 100            |                 |               |               |                       |
|                          |        |                 |                       | 1          | 水平/垂直 | 1              | 50             |                 |               |               |                       |
| TCA4NA TWA4NA TFA4NA     | ボールねじ | 20              | 1048                  | 6          | 水平     | 6              | 270(at 30st) / 300(at 50st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                | 220(at 30st) / 300(at 50st) | 0.2             |               |               |                       |
|                          |        |                 |                       | 4          | 水平     | 4              | 200            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 2          | 水平/垂直 | 2              | 100            | 0.2             | -             | -             | -                     |
|                          | すべりねじ |                 |                       | 6          | 水平/垂直 | 6              | 220(at 30st) / 300(at 50st) | 0.2             | -             | -             | -                     |
|                          |        |                 |                       | 4          | 水平/垂直 | 4              | 200            |                 |               |               |                       |
|                          |        |                 |                       | 2          | 水平/垂直 | 2              | 100            |                 |               |               |                       |
| TA4C TA4R                | ボールねじ | 10              | 800                   | 6          | 水平     | 8              | 300            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 4          | 水平     | 5              | 200            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 2          | 水平/垂直 | 3              | 100            | 0.2             | -             | -             | -                     |
| TA5C TA5R                | ボールねじ | 20              | 800                   | 10         | 水平     | 13             | 465            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                | 400            | 0.2             |               |               |                       |
|                          |        |                 |                       | 5          | 水平     | 7              | 250            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 2.5        | 水平/垂直 | 4              | 125            | 0.2             | -             | -             | -                     |
| TA6C TA6R                | ボールねじ | 20              | 800                   | 12         | 水平     | 15             | 560            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                | 500            | 0.2             |               |               |                       |
|                          |        |                 |                       | 6          | 水平     | 8              | 300            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 3          | 水平/垂直 | 4              | 150            | 0.2             | -             | -             | -                     |
| TA7C TA7R                | ボールねじ | 30              | 800                   | 12         | 水平     | 15             | 600            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                | 580            | 0.2             |               |               |                       |
|                          |        |                 |                       | 6          | 水平     | 8              | 300            | 0.3             | -             | -             | -                     |
|                          |        |                 |                       |            | 垂直     |                |                | 0.2             |               |               |                       |
|                          |        |                 |                       | 3          | 水平/垂直 | 4              | 150            | 0.2             | -             | -             | -                     |

---

**注記:**
- 「at 30st」「at 50st」は特定のステップ数での速度を示しています。
- 押付力と定格押付け速度の欄はすべて「-」で記載されており、該当データなしまたは未記載と推測されます。
</contents>
