ファイル名: RCON(MJ0384-8D)_page860

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCS4シリーズのアクチュエーターに関する仕様を表形式でまとめています。ページ全体は表部分で構成されており、テキストは表のタイトル、注釈、及び表の各項目の説明に限定されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCS4シリーズのアクチュエーター仕様を一覧表で示しています。

（注）
- タイプが網掛けされた機種は、オフボードチューニング機能に対応しています。ただし、高加減速対応の設定がある場合は除きます。
- オフボードチューニング機能については、パソコン専用ティーチングソフトの取扱説明書を参照してください。

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ           | モーター出力[W] | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最高速度[mm/s]                                                                                      | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格取付速度[mm/s] |
|--------------------------|------------------|-----------------|----------------------|------------|------------|---------------------------------------------------------------------------------------------------|-----------------|---------------|---------------|--------------------|
| RCS4 (スライダータイプ)  | SA4C SA4R        | 60              | 16384                | 16         | 水平/垂直  | 960(at 50～450st) 875(at 500st)                                                                   | SA4C:1.2 SA4R:1 | -             | -             | -                  |
|                          |                  |                 |                      | 10         |            | 600(at 50～450st) 555(at 500st)                                                                   | SA4C:1.2 SA4R:1 | -             | -             | -                  |
|                          |                  |                 |                      | 5          |            | 300(at 50～450st) 275(at 500st)                                                                   | 1               | -             | -             | -                  |
|                          |                  |                 |                      | 2.5        |            | 150(at 50～450st) 135(at 500st)                                                                   | 0.7             | -             | -             | -                  |
|                          | SA6C SA6R        | 100             | 16384                | 30         | 水平/垂直  | 1600(at 50～550st) 1450(at 600st) 1260(at 650st) 1100(at 700st) 970(at 750st) 860(at 800st)       | SA6C:1.2 SA6R:1 | -             | -             | -                  |
|                          |                  |                 |                      | 20         |            | 1200(at 50～500st) 1130(at 550st) 970(at 600st) 840(at 650st) 735(at 700st) 650(at 750st) 575(at 800st) | SA6C:1.2 SA6R:1 | -             | -             | -                  |
|                          |                  |                 |                      | 12         |            | 720(at 50～500st) 620(at 550st) 535(at 600st) 460(at 650st) 405(at 700st) 355(at 750st) 315(at 800st) | SA6C:1.2 SA6R:1 | -             | -             | -                  |
|                          |                  |                 |                      | 6          |            | 360(at 50～500st) 305(at 550st) 265(at 600st) 230(at 650st) 200(at 700st) 175(at 750st) 155(at 800st) | 1               | -             | -             | -                  |
|                          |                  |                 |                      | 3          |            | 180(at 50～500st) 150(at 550st) 130(at 600st) 115(at 650st) 100(at 700st) 85(at 750st) 75(at 800st)  | 0.7             | -             | -             | -                  |
</contents>
