ファイル名: RCON(MJ0384-8D)_page867

<overview>
本ページは「RCS4シリーズ」のアクチュエーター仕様一覧を示す表で構成されています。テキストは主に注釈部分にあり、表がページの大部分を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注釈
- タイプが網掛けされた機種は、オフボードチューニング機能に対応しています。ただし、高加減速対応の設定がある場合は除きます。
- オフボードチューニング機能については、パソコン専用ティーチングソフトの取扱説明書を参照してください。

### 表
#### RCS4シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ       | モーター出力[W] | エンコーダーパルス数 | リード[mm] | 取付け方向 | 最高速度[mm/s]                                                                                     | 最大加減速度[G] | 最小押付力[N] | 最大押付力[N] | 定格取付速度[mm/s] |
|--------------------------|--------------|-----------------|----------------------|------------|------------|--------------------------------------------------------------------------------------------------|-----------------|---------------|---------------|--------------------|
| RCS4 (ワイドスライダータイプ) | WSA12C WSA12R | 100             | 16384                | 12         |            | 720(at 50～450st) 610(at 500st) 535(at 550st) 465(at 600st) 405(at 650st) 355(at 700st) 315(at 750st) 285(at 800st) | WSA12C:1.2 WSA12R:1 | -             | -             | -                  |
|                          |              |                 |                      | 6          | 水平/垂直  | 360(at 50～450st) 310(at 500st) 265(at 550st) 230(at 600st) 200(at 650st) 175(at 700st) 155(at 750st) 140(at 800st) | 1               | -             | -             | -                  |
|                          |              |                 |                      | 3          |            | 180(at 50～450st) 150(at 500st) 130(at 550st) 115(at 600st) 100(at 650st) 85(at 700st) 75(at 750st) 70(at 800st)   | 0.7             | -             | -             | -                  |
|                          | WSA14C WSA14R | 200             | 16384                | 36         | 水平       | WSA14C: 1800(at 50～550st) 1590(at 600st) 1400(at 650st) 1240(at 700st) 1110(at 750st) 990(at 800st)               | WSA14C:1.2 WSA14R:1 | -             | -             | -                  |
|                          |              |                 |                      |            |            | WSA14R: 1710(at 50～550st) 1590(at 600st) 1400(at 650st) 1240(at 700st) 1110(at 750st) 990(at 800st)               | -               | -             | -             | -                  |
|                          |              |                 |                      | 24         | 水平/垂直  | 1440(at 50～450st) 1420(at 500st) 1220(at 550st) 1060(at 600st) 930(at 650st) 830(at 700st) 740(at 750st) 665(at 800st) | WSA14C:1.2 WSA14R:1 | -             | -             | -                  |
|                          |              |                 |                      | 16         | 水平/垂直  | 960(at 50～450st) 920(at 500st) 790(at 550st) 690(at 600st) 610(at 650st) 550(at 700st) 490(at 750st) 440(at 800st) | WSA14C:1.2 WSA14R:1 | -             | -             | -                  |

</contents>
