ファイル名: RCON(MJ0384-8D)_page880

<overview>
本ページは「11.2 アクチュエーターの仕様一覧」と題されており、RCS2シリーズのアクチュエーター仕様を表形式でまとめています。テキストは主に表の注釈部分にあり、表がページの大部分を占めています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 注釈
- タイプが網掛けされた機種は、オフボードチューニング機能に対応しています。
- ただし、高加減速対応の設定がある場合、それを除きます。
- オフボードチューニング機能については、パソコン専用ティーチングソフトの取扱説明書を参照してください。

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付け方向 | 最高速度(mm/s) | 最大加減速度(G) | 最小押付力(N) | 最大押付力(N) | 定格押付け速度(mm/s) |
|--------------------------|--------|-----------------|-----------------------|------------|------------|----------------|-----------------|---------------|---------------|-----------------------|
| RCS2 (スライダータイプ)  | SS8C   | 100, 150        | 16384                 | 20         | 水平/垂直  | 1000(at 50～600st)<br>960(at 700st)<br>765(at 800st)<br>625(at 900st)<br>515(at 1000st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 10         |            | 500(at 50～600st)<br>480(at 700st)<br>380(at 800st)<br>310(at 900st)<br>255(at 1000st) | 0.3             | -             | -             | -                     |
|                          | SS8R   | 100, 150        | 16384                 | 20         | 水平/垂直  | 1000(at 50～600st)<br>960(at 700st)<br>765(at 800st)<br>625(at 900st)<br>515(at 1000st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 10         |            | 500(at 50～600st)<br>480(at 700st)<br>380(at 800st)<br>310(at 900st)<br>255(at 1000st) | 0.3             | -             | -             | -                     |
| RCS2 (ロッドタイプ)      | RA5C   | 60              | 16384                 | 16         | 水平/垂直  | 800(at 50～250st)<br>755(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 8          |            | 400(at 50～250st)<br>377(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 4          |            | 200(at 50～250st)<br>188(at 300st) | 0.2             | -             | -             | -                     |
|                          | 100    |                 |                       | 16         |            | 800(at 50～250st)<br>755(at 300st) | 0.3 (高加減速対応:1) | -             | -             | -                     |
|                          |        |                 |                       | 8          |            | 400(at 50～250st)<br>377(at 300st) | 0.3 (高加減速対応:1) | -             | -             | -                     |
|                          |        |                 |                       | 4          |            | 200(at 50～250st)<br>188(at 300st) | 0.2             | -             | -             | -                     |
|                          | RGS5C / RGD5C | 60         | 16384                 | 16         | 水平/垂直  | 800(at 50～250st)<br>755(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 8          |            | 400(at 50～250st)<br>377(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 4          |            | 200(at 50～250st)<br>188(at 300st) | 0.2             | -             | -             | -                     |
|                          | 100    |                 |                       | 16         |            | 800(at 50～250st)<br>755(at 300st) | 0.3 (高加減速対応:1) | -             | -             | -                     |
|                          |        |                 |                       | 8          |            | 400(at 50～250st)<br>377(at 300st) | 0.3 (高加減速対応:1) | -             | -             | -                     |
|                          |        |                 |                       | 4          |            | 200(at 50～250st)<br>188(at 300st) | 0.2             | -             | -             | -                     |
|                          | RA5R   | 60              | 16384                 | 16         | 水平/垂直  | 800(at 50～250st)<br>755(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 8          |            | 400(at 50～250st)<br>377(at 300st) | 0.3             | -             | -             | -                     |
|                          |        |                 |                       | 4          |            | 200(at 50～250st)<br>188(at 300st) | 0.2             | -             | -             | -                     |

</contents>
