ファイル名: RCON(MJ0384-8D)_page882

<overview>
このページは「11.2 アクチュエーターの仕様一覧」というタイトルのもと、RCS2シリーズの各種アクチュエーターの仕様を表形式でまとめています。ページ全体はテキストの見出しと表で構成されており、テキスト部分は見出しのみ、表部分がメインの情報提供セクションとなっています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
RCS2シリーズのアクチュエーター仕様を一覧で示しています。

### 表
#### RCS2シリーズ アクチュエーター仕様一覧

| アクチュエーターシリーズ | タイプ               | モーター出力(W) | エンコーダーパルス数 | リード(mm)           | 取付け方向       | 最高速度(mm/s) | 最大加減速度(G) | 最小押付力(N) | 最大押付力(N) | 定格取付け速度(mm/s) |
|--------------------------|----------------------|----------------|----------------------|----------------------|------------------|----------------|-----------------|---------------|---------------|-----------------------|
| RCS2 (グリッパータイプ)  | GR8                  | 60             | 16384                | 減速比1/5            | －               | 400            | 0.3             | －            | －            | －                    |
| RCS2 (フラットタイプ)    | F5D                  | 60 100         | 16384                | 16 8 4               | 水平/垂直        | 800 400 200    | 0.3 0.3 0.2     | －            | －            | －                    |
| RCS2 (ローラータイプ)    | RT6                  | 60             | 16384                | 減速比1/18           | －               | 500度/s        | －               | －            | －            | －                    |
|                          | RT6R                 | 60             | 16384                | 減速比1/18           | －               | 500度/s        | －               | －            | －            | －                    |
|                          | RT7R                 | 60             | 16384                | 減速比1/4            | －               | 500度/s        | －               | －            | －            | －                    |
|                          | RTC10L                | 60             | 16384                | 減速比1/15 減速比1/24 | －               | 1200度/s 750度/s | 0.3             | －            | －            | －                    |
|                          | RTC12L                | 150            | 16384                | 減速比1/18 減速比1/30 | －               | 800度/s 600度/s | 0.3             | －            | －            | －                    |

</contents>
