ファイル名: RCON(MJ0384-8D)_page909

<overview>
本ページは「アクチュエーターの仕様一覧」を示しており、主に2つのシリーズ（SSPA/SSPADACR/IF/FS/RSシリーズおよびNS/NSAシリーズ）に関する仕様表で構成されています。テキスト部分はシリーズ名と表のタイトル、表部分は各シリーズのアクチュエーターのタイプ別にモーター出力、エンコーダーパルス数、リード長さ、取付け方向、最高速度、最大加減速度、押付け力、定格押付け速度などの詳細な仕様が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 11.2 アクチュエーターの仕様一覧
本節では、SSPA/SSPADACR/IF/FS/RSシリーズおよびNS/NSAシリーズのアクチュエーターの仕様を一覧表で示しています。

### 表
#### SSPA/SSPADACR/IF/FS/RSシリーズ仕様一覧

| アクチュエーターシリーズ | タイプ | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :----- | :--------------- | :------------------- | :---------- | :---------- | :-------------- | :--------------- | :---------------- | :---------------- | :--------------------- |
| IF                       | SA     | 60 / 100         | 16384                | 35          | 水平        | 1750            | 0.3              | -                 | -                 | -                      |
|                          | MA     | 200 / 400        | 16384                | 35          | 水平        | 1750            | 0.3              | -                 | -                 | -                      |
| IFA                      | SA     | 100              | 131072               | 28相当      | 水平        | 2000            | 2.0              | -                 | -                 | -                      |
|                          | MA     | 200 / 400        | 131072               | 42相当      | 水平        | 3000            | 2.0              | -                 | -                 | -                      |
| FS                       | NM     | 60 / 100         | 16384                | 25          | 水平        | 1250            | 0.3              | -                 | -                 | -                      |
|                          | WM     | 100 / 200        | 16384                | 25          | 水平        | 1250            | 0.3              | -                 | -                 | -                      |
|                          | LM     | 400              | 16384                | 25          | 水平        | 1250            | 1                | -                 | -                 | -                      |
|                          | HM     | 400              | 16384                | 40          | 水平        | 2000            | 0.3              | -                 | -                 | -                      |
| RS                       | 30     | 30               | 16384                | 減速比1/50 減速比1/100 | 水平/垂直 | 360 / 180       | 0.2              | -                 | -                 | -                      |
|                          | 60     | 60               | 16384                | 減速比1/50 減速比1/100 | 水平/垂直 | 360 / 180       | 0.2              | -                 | -                 | -                      |

#### NS/NSAシリーズ仕様一覧

| アクチュエーターシリーズ | タイプ   | モーター出力 [W] | エンコーダーパルス数 | リード [mm] | 取付け方向 | 最高速度 [mm/s] | 最大加減速度 [G] | 最小押付け力 [N] | 最大押付け力 [N] | 定格押付け速度 [mm/s] |
| :----------------------- | :------- | :--------------- | :------------------- | :---------- | :---------- | :-------------- | :--------------- | :---------------- | :---------------- | :--------------------- |
| NS                       | SXMS/SXMM | 60               | インクリメンタル2400 | 12          | 水平        | 720             | 0.8              | -                 | -                 | -                      |
|                          | SZMS/SZMM | 60               | インクリメンタル2400 | 12          | 垂直        | 600             | 0.7              | -                 | -                 | -                      |
|                          | MXMS/MXMM | 200              | 16384                | 30 / 20     | 水平        | 1800 / 1200     | 1 / 0.8          | -                 | -                 | -                      |
|                          | MXMXS    | 200              | 16384                | 30 / 20     | 水平        | 1800 / 1200     | 0.3              | -                 | -                 | -                      |
|                          | MZMS/MZMM | 200              | 16384                | 20          | 垂直        | 1000            | 0.5              | -                 | -                 | -                      |
|                          | LXMS/LXMM | 400              | 16384                | 40 / 20     | 水平        | 2400 / 1300     | 1                | -                 | -                 | -                      |
|                          | LXMXS    | 400              | 16384                | 40 / 20     | 水平        | 2400 / 1300     | 0.3              | -                 | -                 | -                      |
|                          | LZMS/LZMM | 400              | 16384                | 20          | 垂直        | 1000            | 0.8              | -                 | -                 | -                      |
| NSA                      | MXMS/MXMM | 200              | 131072               | 30 / 20     | 水平        | 1800 / 1200     | 0.5 / 0.6        | -                 | -                 | -                      |
|                          | LXMS/LXMM | 400              | 131072               | 40 / 20     | 水平        | 2400 / 1300     | 0.8 / 0.9        | -                 | -                 | -                      |
|                          | WXMS/WXMM | 750              | 131072               | 50 / 25     | 水平        | 2500 / 1300     | 0.9 / 1          | -                 | -                 | -                      |
</contents>
