ファイル名: RCON(MJ0384-8D)_page910

<overview>
本ページはアクチュエーターの仕様一覧を示しており、主に2つのシリーズ（LSA/LSASシリーズ、DD/DDAシリーズ）に分かれています。  
構成は以下の通りです。  
- テキスト部分：各シリーズの名称と注釈  
- 表部分：各アクチュエーターシリーズの詳細仕様を表形式で掲載  
- グラフや図はなし
</overview>

<contents>
### テキスト
#### アクチュエーターの仕様一覧
- LSA/LSASシリーズ  
- DD/DDAシリーズ  
- DD(CR)はクリーン仕様を含む  
- DDA(CR)はクリーン仕様を含む  
- DDWは防塵防滴仕様  
- 200Vドライバーユニット（RCON-SC）はインデックスアブソタイプ（エンコーダ種類：AI）のみ対応

### 表

#### LSA/LSASシリーズ

| アクチュエーターシリーズ | タイプ | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付け方向 | 最高速度(mm/s) | 最大加減速度(G) | 最小押付け力(N) | 最大押付け力(N) | 定格押付け速度(mm/s) |
| :----------------------- | :----- | --------------: | --------------------: | ---------: | ---------- | --------------: | --------------: | ---------------: | ---------------: | --------------------: |
| LSA                      | S6SS S6SM               | 100             | 48000                | 48         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | S8SS S8SM S8HS S8HM    | 100             | 60000                | 60         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | S10SS S10SM            | 200             | 90000                | 90         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | S10HS S10HM            | 200S            | 90000                | 90         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | H8SS H8SM H8HS H8HM    | 200             | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | N10SS N10SM            | 100S            | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | L15SS L15SM            | 200             | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | N15SS N15SM N15HS N15HM| 200S            | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | N19SS N19SM            | 300S            | 72000                | 72         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | W21SS W21SM            | 400             | 45000                | 45         | 水平       | 2500            | 3               | －               | －               | －                    |
| LSAS                     | N10SS N10SM            | 100S            | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |
|                          | N15SS N15SM N15HS N15HM| 200S            | 50000                | 50         | 水平       | 2500            | 3               | －               | －               | －                    |

#### DD/DDAシリーズ

| アクチュエーターシリーズ | タイプ       | モーター出力(W) | エンコーダーパルス数 | リード(mm) | 取付け方向       | 最高速度(mm/s) | 最大加減速度(G) | 最小押付け力(N) | 最大押付け力(N) | 定格押付け速度(mm/s) |
| :----------------------- | :----------- | --------------: | --------------------: | ---------: | ---------------- | --------------: | --------------: | ---------------: | ---------------: | --------------------: |
| DD(CR) ※クリーン仕様含む | LT18S LT18CS | 200             | 131072               | 減速比1/1  | 水平/垂直       | 1800度/s       | －               | －               | －               | －                    |
|                          | LT18P LT18CP | 200             | 1048576              | 減速比1/1  | 水平/垂直       | 1800度/s       | －               | －               | －               | －                    |
|                          | LH18S LH18CS | 600             | 131072               | 減速比1/1  | 水平/垂直       | 1440度/s       | －               | －               | －               | －                    |
|                          | LH18P LH18CP | 600             | 1048576              | 減速比1/1  | 水平/垂直       | 1440度/s       | －               | －               | －               | －                    |
| DDA(CR) ※クリーン仕様含む | LT18CS LT18CP | 200             | 131072 / 1048576     | 減速比1/1  | 水平/垂直       | 1800度/s       | 9.99            | －               | －               | －                    |
|                          | LH18CS LH18CP | 600             | 131072 / 1048576     | 減速比1/1  | 水平/垂直       | 1440度/s       | 9.99            | －               | －               | －                    |
| 【防塵防滴仕様】DDW       | LH18CS LH18CP | 600             | 131072 / 1048576     | 減速比1/1  | 水平/垂直       | 1440度/s       | 9.99            | －               | －               | －                    |

</contents>
