ファイル名: RSEL(MJ0392-4M)_page104

<overview>
本ページは「SELユニット、ターミナルユニット」のシステムステータスLEDに関する説明で構成されています。  
テキスト部分ではLEDの役割と状態の説明があり、表部分では各LEDの名称、色、状態ごとの意味が詳細に示されています。  
画像部分にはSELユニットのLED配置写真が掲載されています。グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### システムステータスLED
SELユニットやフィールドネットワークの状態を示すLEDについて説明しています。

### 画像
SELユニットの前面パネルの写真で、MODE、PWR、T RUN、SYS、STOP、ENBの各LEDの位置が示されています。

### 表
#### LED表示仕様

| LED名称 | 色   | 状態           | 内容                     |
|--------|------|----------------|--------------------------|
| T RUN  | 緑   | 点灯           | 内部バス正常通信中       |
|        |      | 点滅           | 初期化通信待ち           |
|        | 橙   | 点灯           | 内部バス通信異常発生     |
| SYS    | 緑   | 消灯           | 非レディー               |
|        |      | 点滅（2Hz）    | アップデート中           |
|        |      | 点滅（0.5Hz）  | アップデート完了         |
|        |      | 点灯           | レディー                 |
|        | 橙   | 消灯           | 非アラーム               |
|        |      | 点灯           | アラーム                 |
|        |      | 点滅           | 制御電源電圧低下検出     |
| MODE   | 緑   | 消灯           | MANU（手動運転）モード中 |
|        |      | 点灯           | AUTO（自動運転）モード中 |
|        |      | 点滅           | システムダウンレベルエラー |
| PWR    | 緑   | 消灯           | 電源未投入、起動異常     |
|        |      | 点灯           | 電源投入正常起動         |
| STOP   | 赤   | 消灯           | 非STOP入力               |
|        |      | 点灯           | STOP入力中               |
| ENB    | 緑   | 消灯           | ディセーブル状態         |
|        |      | 点灯           | イネーブル状態           |
</contents>
