ファイル名: RSEL(MJ0392-4M)_page116

<overview>
このページは「SELユニット、ターミナルユニット」に関するLEDの状態表示について説明しています。  
構成は以下の通りです。  
- 表部分：LED名称ごとに色、状態、内容をまとめた表が掲載されている。  
- テキスト部分：表の各項目の説明が含まれている。  
- グラフや図はなし。
</overview>

<contents>
### 表
#### SELユニット、ターミナルユニットのLED状態一覧

| LED名称 | 色     | 状態   | 内容                             |
|---------|--------|--------|----------------------------------|
| MS      | 緑     | 点灯   | 通常運転                        |
|         | 緑     | 点滅   | コンフィギュレーション情報がないか不完全な状態 |
|         | 橙     | 点灯   | 故障（回復不可能）             |
|         | 橙     | 点滅   | 故障（回復可能）               |
|         | 緑／橙 | 交互   | 自己診断中                     |
| NS      | 緑     | 点灯   | オンライン状態                 |
|         | 緑     | 点滅   | オンライン状態（コネクション確立なし） |
|         | 橙     | 点灯   | エラー発生                   |
|         | 橙     | 点滅   | 1つ以上のコネクションがタイムアウト |
|         | 緑／橙 | 交互   | 自己診断中                   |
</contents>
