ファイル名: RSEL(MJ0392-4M)_page133

<overview>
このページは「RCON-PC/PCFドライバーユニット」のピン配列に関する情報で構成されています。主に表形式で、ピン番号、信号名、説明の3つのカラムからなるピン割り当て表が掲載されています。テキスト部分は表のタイトルと説明文が中心で、図やグラフは含まれていません。
</overview>

<contents>
### テキスト
#### RCON-PC/PCFドライバーユニットのピン配列
RCON-PC/PCFドライバーユニットの各ピン番号に対応する信号名とその説明を示した表です。

### 表
| ピン番号 | 信号名      | 説明                             |
| :------- | :---------- | :------------------------------- |
| 1        | A+          | エンコーダー A相＋入力           |
| 2        | BK−         | ブレーキリリース －側            |
| 3        | ϕA+         | モーター駆動ライン A相＋         |
| 4        | ϕA−         | モーター駆動ライン A相－         |
| 5        | VMM         | モーター電源ライン               |
| 6        | A−          | エンコーダー A相－入力           |
| 7        | GND         | 0V                              |
| 8        | LS+         | リミットスイッチ ＋側            |
| 9        | VMM         | モーター電源ライン               |
| 10       | ϕB+         | モーター駆動ライン B相＋         |
| 11       | B+          | エンコーダー B相＋入力           |
| 12       | ENC_SD+     | バッテリーレスアブソ通信ライン＋ |
| 13       | LS_GND      | リミットスイッチ用グラウンド     |
| 14       | LS−         | リミットスイッチ －側            |
| 15       | ϕB−         | モーター駆動ライン B相－         |
| 16       | B−          | エンコーダー B相－入力           |
| 17       | ENC_SD−     | バッテリーレスアブソ通信ライン－ |
| 18       | VPS         | エンコーダーラインドライバーイネーブル出力 |
| 19       | NC          | 未接続                         |
| 20       | BK+         | ブレーキリリース ＋側            |
| 21       | VCC         | モーター用エンコーダー電源 5V    |
| 22       | CF_VCC      | 高推力モーター用エンコーダー電源 5V |
| 23       | NC          | 未接続                         |
| 24       | FG          | フレームグラウンド               |
</contents>
