ファイル名: RSEL(MJ0392-4M)_page135

<overview>
このページは「RCON-DCドライバーユニット」のピン配列と各ピンの信号名および説明を示した表で構成されています。テキストは表形式で、ピン番号、信号名、説明の3列からなっています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### RCON-DCドライバーユニット ピン配列一覧

| ピン番号 | 信号名 | 説明                         |
| :------- | :----- | :--------------------------- |
| 1        | B+     | エンコーダー +B相入力        |
| 2        | LS−    | リミットスイッチ−側          |
| 3        | U      | モーター駆動ライン U相       |
| 4        | W      | モーター駆動ライン W相       |
| 5        | V      | モーター駆動ライン V相       |
| 6        | B−     | エンコーダー −B相入力        |
| 7        | GND    | 0V                          |
| 8        | BK+    | ブレーキリリース +側         |
| 9        | NC     | 未接続                      |
| 10       | NC     | 未接続                      |
| 11       | HS_U   | ホールセンサー U相           |
| 12       | A+     | エンコーダー +A相入力        |
| 13       | HS_W   | ホールセンサー W相           |
| 14       | BK−    | ブレーキリリース −側         |
| 15       | NC     | 未接続                      |
| 16       | HS_V   | ホールセンサー V相           |
| 17       | A−     | エンコーダー −A相入力        |
| 18       | VPS    | エンコーダーラインドライバーイネーブル出力 |
| 19       | NC     | 未接続                      |
| 20       | LS+    | リミットスイッチ +側          |
| 21       | VCC    | エンコーダー電源 5V          |
| 22       | NC     | 未接続                      |
| 23       | NC     | 未接続                      |
| 24       | FG     | フレームグラウンド            |

</contents>
