ファイル名: RSEL(MJ0392-4M)_page18

<overview>
このページは「労働安全衛生規則の産業用ロボットに対する要求事項」についての表で構成されています。テキスト部分はタイトルと注釈的な説明はなく、主に表形式で情報が整理されています。表は「作業エリア」「作業状態」「駆動源の遮断」「措置」「規定」の5つの項目で構成され、産業用ロボットの安全に関する規則の具体的な要求事項を示しています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### 労働安全衛生規則の産業用ロボットに対する要求事項

| 作業エリア | 作業状態 | 駆動源の遮断 | 措置 | 規定 |
| :--- | :--- | :--- | :--- | :--- |
| 可動範囲外 | 自動運転中 | しない | 運転開始の合図 | 104条 |
|  |  |  | 柵、囲いの設置など | 150条の4 |
| 可動範囲内 | 教示などの作業時 | する（運転停止含む） | 作業中である旨の表示など | 150条の3 |
|  |  | しない | 作業規定の作成 | 150条の3 |
|  |  |  | 直ちに運転を停止できる措置 | 150条の3 |
|  |  |  | 作業中である旨の表示など | 150条の3 |
|  |  |  | 特別教育の実施 | 36条31号 |
|  |  |  | 作業開始前の点検など | 151条 |
| 可動範囲内 | 検査などの作業時 | する | 運転を停止して行う | 150条の5 |
|  |  |  | 作業中である旨の表示など | 150条の5 |
|  |  | しない（やむをえず運転中に行う場合） | 作業規定の作成 | 150条の5 |
|  |  |  | 直ちに運転停止できる措置 | 150条の5 |
|  |  |  | 作業中である旨の表示など | 150条の5 |
|  |  |  | 特別教育の実施（清掃・給油作業を除く） | 36条32号 |

</contents>
