ファイル名: RSEL(MJ0392-4M)_page190

<overview>
本ページは「SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット」に関する仕様説明で構成されています。主に表形式で、ユニット番号ごとのピン番号、区分、信号名、ポート番号の対応関係が示されています。テキストは表の説明と補足情報が含まれており、グラフや図はありません。
</overview>

<contents>
### テキスト
#### SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニットのポート番号対応
I/Oスロットモジュール未装着かつユニット8台連結時に、自動割付または固定割付で入力開始ポートNo.を000、出力開始ポートNo.を300に設定した場合のポート番号対応表について説明しています。

#### 補足
ユニットNo.はSELユニット隣から順に1、2、…、8と付けたものです。

### 表
#### ユニットNo.ごとのピン番号、区分、信号名、ポートNo.対応表（一部抜粋）

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---------- | :------- | :--- | :----- | :-------- | :------- | :--- | :----- | :-------- |
| 1           | 1A       | 24   | P24    | -         | 1B       | 出力 | OUT0   | 300       |
|             | 2A       | 24   | P24    | -         | 2B       | 出力 | OUT1   | 301       |
|             | 5A       | 入力 | IN0    | 000       | 5B       | 出力 | OUT4   | 304       |
|             | 6A       | 入力 | IN1    | 001       | 6B       | 出力 | OUT5   | 305       |
|             | 8A       | 入力 | IN3    | 003       | 8B       | 出力 | OUT7   | 307       |
|             | 10A      | 入力 | IN5    | 005       | 10B      | 出力 | OUT9   | 309       |
|             | 12A      | 入力 | IN7    | 007       | 12B      | 出力 | OUT11  | 311       |
|             | 16A      | 入力 | IN11   | 011       | 16B      | 出力 | OUT15  | 315       |
|             | 19A      | 入力 | IN14   | 014       | 19B      | 出力 | N      | -         |
|             | 20A      | 入力 | IN15   | 015       | 20B      | 出力 | N      | -         |

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---------- | :------- | :--- | :----- | :-------- | :------- | :--- | :----- | :-------- |
| 2           | 1A       | 24   | P24    | -         | 1B       | 出力 | OUT0   | 316       |
|             | 2A       | 24   | P24    | -         | 2B       | 出力 | OUT1   | 317       |
|             | 5A       | 入力 | IN0    | 016       | 5B       | 出力 | OUT4   | 320       |
|             | 6A       | 入力 | IN1    | 017       | 6B       | 出力 | OUT5   | 321       |
|             | 8A       | 入力 | IN3    | 019       | 8B       | 出力 | OUT7   | 323       |
|             | 10A      | 入力 | IN5    | 021       | 10B      | 出力 | OUT9   | 325       |
|             | 12A      | 入力 | IN7    | 023       | 12B      | 出力 | OUT11  | 327       |
|             | 16A      | 入力 | IN11   | 027       | 16B      | 出力 | OUT15  | 331       |
|             | 19A      | 入力 | IN14   | 030       | 19B      | 出力 | N      | -         |
|             | 20A      | 入力 | IN15   | 031       | 20B      | 出力 | N      | -         |

※表はユニットNo.1と2の一部を抜粋して示しています。  
</contents>
