ファイル名: RSEL(MJ0392-4M)_page193

<overview>
本ページは「3.5 SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニット」に関する仕様説明の一部であり、主に表形式で構成されています。  
内容は、各ユニット番号ごとのピン番号、区分、信号名、ポート番号の対応関係を示した詳細な一覧表で構成されています。  
テキスト部分は表の補足説明が少量あるのみで、グラフや図は含まれていません。  
全体は2つの大きな表に分かれており、ユニットNo.7と8のピン配置と信号対応が記載されています。
</overview>

<contents>
### 表
#### SCON拡張ユニット、PIO/SIO/SCON拡張ユニット、PIOユニットのピン・信号対応一覧

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 7 | 1A | 24 | P24 | - | 1B | 出力 | OUT0 | 396 |
|   | 2A | 24 | P24 | - | 2B | 出力 | OUT1 | 397 |
|   | 3A | - | - | - | 3B | 出力 | OUT2 | 398 |
|   | 4A | - | - | - | 4B | 出力 | OUT3 | 399 |
|   | 5A | 入力 | IN0 | 096 | 5B | 出力 | OUT4 | 400 |
|   | 6A | 入力 | IN1 | 097 | 6B | 出力 | OUT5 | 401 |
|   | 7A | 入力 | IN2 | 098 | 7B | 出力 | OUT6 | 402 |
|   | 8A | 入力 | IN3 | 099 | 8B | 出力 | OUT7 | 403 |
|   | 9A | 入力 | IN4 | 100 | 9B | 出力 | OUT8 | 404 |
|   | 10A | 入力 | IN5 | 101 | 10B | 出力 | OUT9 | 405 |
|   | 11A | 入力 | IN6 | 102 | 11B | 出力 | OUT10 | 406 |
|   | 12A | 入力 | IN7 | 103 | 12B | 出力 | OUT11 | 407 |
|   | 13A | 入力 | IN8 | 104 | 13B | 出力 | OUT12 | 408 |
|   | 14A | 入力 | IN9 | 105 | 14B | 出力 | OUT13 | 409 |
|   | 15A | 入力 | IN10 | 106 | 15B | 出力 | OUT14 | 410 |
|   | 16A | 入力 | IN11 | 107 | 16B | 出力 | OUT15 | 411 |
|   | 17A | 入力 | IN12 | 108 | 17B | - | - | - |
|   | 18A | 入力 | IN13 | 109 | 18B | - | - | - |
|   | 19A | 入力 | IN14 | 110 | 19B | 0 | N | - |
|   | 20A | 入力 | IN15 | 111 | 20B | 0 | N | - |

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 8 | 1A | 24 | P24 | - | 1B | 出力 | OUT0 | 412 |
|   | 2A | 24 | P24 | - | 2B | 出力 | OUT1 | 413 |
|   | 3A | - | - | - | 3B | 出力 | OUT2 | 414 |
|   | 4A | - | - | - | 4B | 出力 | OUT3 | 415 |
|   | 5A | 入力 | IN0 | 112 | 5B | 出力 | OUT4 | 416 |
|   | 6A | 入力 | IN1 | 113 | 6B | 出力 | OUT5 | 417 |
|   | 7A | 入力 | IN2 | 114 | 7B | 出力 | OUT6 | 418 |
|   | 8A | 入力 | IN3 | 115 | 8B | 出力 | OUT7 | 419 |
|   | 9A | 入力 | IN4 | 116 | 9B | 出力 | OUT8 | 420 |
|   | 10A | 入力 | IN5 | 117 | 10B | 出力 | OUT9 | 421 |
|   | 11A | 入力 | IN6 | 118 | 11B | 出力 | OUT10 | 422 |
|   | 12A | 入力 | IN7 | 119 | 12B | 出力 | OUT11 | 423 |
|   | 13A | 入力 | IN8 | 120 | 13B | 出力 | OUT12 | 424 |
|   | 14A | 入力 | IN9 | 121 | 14B | 出力 | OUT13 | 425 |
|   | 15A | 入力 | IN10 | 122 | 15B | 出力 | OUT14 | 426 |
|   | 16A | 入力 | IN11 | 123 | 16B | 出力 | OUT15 | 427 |
|   | 17A | 入力 | IN12 | 124 | 17B | - | - | - |
|   | 18A | 入力 | IN13 | 125 | 18B | - | - | - |
|   | 19A | 入力 | IN14 | 126 | 19B | 0 | N | - |
|   | 20A | 入力 | IN15 | 127 | 20B | 0 | N | - |

---

※注記：ユニットNo.とは、SELユニット隣から順に1、2、…、8と付けたものです。
</contents>
