ファイル名: RSEL(MJ0392-4M)_page205

<overview>
本ページは「EC接続ユニット」に関する説明で構成されています。上部にテキストでEC接続用コネクターの説明があり、その下にコネクターの写真が掲載されています。さらにページ下部には「RCON-EC」コネクターのピン番号、信号名、説明をまとめた表が配置されています。テキスト説明、画像、表の3セクションで構成されています。
</overview>

<contents>
### テキスト
#### EC接続用コネクター
エレシリンダーと接続するためのコネクターです。上から1軸目、2軸目、3軸目、4軸目となります。  
軸番号は、ドライバーユニットとSCON拡張ユニットに接続される軸の後ろに自動で割振られます。また、4軸全部にエレシリンダーを接続していなくても、4軸分の軸番号が割振られます。未接続軸の軸番号は前詰めされません。

### 画像
（4つのコネクターが縦に並んだ写真）

### 表
#### 【RCON-EC】ピン配列

| ピン番号 | 信号名       | 説明               |
| :------- | :----------- | :----------------- |
| 1        | 24V（MP）    | モーター電源 +24V  |
| 2        | GND          | 0V                 |
| 3        | IN0          | 入力0              |
| 4        | IN1          | 入力1              |
| 5        | IN2          | 入力2              |
| 6        | SD+          | 通信ライン＋       |
| 7        | OUT0         | 出力0              |
| 8        | OUT1         | 出力1              |
| 9        | OUT2         | 出力2              |
| 10       | SD-          | 通信ライン－       |
| 11       | BKRLS        | ブレーキリリース   |
| 12       | 24V（CP）    | 制御電源 +24V      |
| 13       | FG           | フレームグラウンド |

</contents>
