ファイル名: RSEL(MJ0392-4M)_page294

<overview>
本ページは「5.5 入出力I/Oポート」に関する説明で構成されています。  
テキスト部分では、RSELコントローラーの入出力ポートの割り付け方法や設定範囲について解説しています。  
表部分では、入力ポートのピン番号、電線色、ポート番号、標準設定機能、及び対応するパラメーターNo.とその機能の詳細が一覧で示されています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 5.5 入出力I/Oポート
RSELコントローラーは、各入力機能、出力機能を入力ポート、出力ポートに任意に割り付けることが可能です。  
- 入力ポートは、I/OパラメーターNo.30～45（入力機能選択000～015）で入力機能を設定し、設定した機能を割り付けるポートNo.をI/OパラメーターNo.283～298で設定します。  
- 出力ポートは、I/OパラメーターNo.46～61（出力機能選択300～315）で出力機能を設定し、設定した機能を割り付けるポートNo.をI/OパラメーターNo.299～314で設定します。  
- また、I/OパラメーターNo.331～346（出力機能選択300（エリア2）～315（エリア2））で出力機能を設定し、割り付けるポートNo.をI/OパラメーターNo.315～330で設定することも可能です。

### 表
#### 入力ポート設定一覧

| ピンNo. | 電線色 | ポートNo. | 標準設定（出荷時）機能 | 備考（パラメーターNo.、名称、機能） |
| :--- | :--- | :--- | :--- | :--- |
| 1A 2A | 茶-1 赤-1 | - | +24V入力 | - |
| 5A | 緑-1 | 000 | プログラムスタート | No.30 入力機能選択000<br>0:汎用入力<br>1:プログラムスタート信号（ONエッジ）<br>2:プログラムスタート信号（ONエッジ）<br>3:プログラムスタート信号（ONエッジ） |
| 6A | 青-1 | 001 | 汎用入力 | No.31 入力機能選択001<br>0:汎用入力<br>1:ソフトウェアリセット信号（1秒ON） |
| 7A | 紫-1 | 002 | 汎用入力 | No.32 入力機能選択002<br>0:汎用入力<br>1:サーボON信号 |
| 8A | 灰-1 | 003 | 汎用入力 | No.33 入力機能選択003<br>0:汎用入力<br>1:AUTOモード時、パワーONリセット、ソフトウェアリセットでプログラムオートスタート<br>2:オートスタートプログラム信号 |
| 9A | 白-1 | 004 | 汎用入力 | No.34 入力機能選択004<br>0:汎用入力<br>1:全キーロック解除（OFFレベル） |
| 10A | 黒-1 | 005 | 汎用入力 | No.35 入力機能選択005<br>0:汎用入力<br>1:動作一時停止解除（ONエッジ） |
| 11A | 茶-2 | 006 | 汎用入力 | No.36 入力機能選択006<br>0:汎用入力<br>1:動作一時停止信号（OFFレベル） |
| 12A | 赤-2 | 007 | プログラムNo.指定（LSB：1ビットめ） | No.37 入力機能選択007<br>0:汎用入力<br>1:プログラムNo.指定（LSB：1ビットめ） |
| 13A | 橙-2 | 008 | プログラムNo.指定（2ビットめ） | No.38 入力機能選択008<br>0:汎用入力<br>1:プログラムNo.指定（2ビットめ） |
| 14A | 黄-2 | 009 | プログラムNo.指定（3ビットめ） | No.39 入力機能選択009<br>0:汎用入力<br>1:プログラムNo.指定（3ビットめ） |
| 15A | 緑-2 | 010 | プログラムNo.指定（4ビットめ） | No.40 入力機能選択010<br>0:汎用入力<br>1:プログラムNo.指定（4ビットめ） |
| 16A | 青-2 | 011 | プログラムNo.指定（5ビットめ） | No.41 入力機能選択011<br>0:汎用入力<br>1:プログラムNo.指定（5ビットめ） |
| 17A | 紫-2 | 012 | プログラムNo.指定（6ビットめ） | No.42 入力機能選択012<br>0:汎用入力<br>1:プログラムNo.指定（6ビットめ） |
| 18A | 灰-2 | 013 | プログラムNo.指定（7ビットめ） | No.43 入力機能選択013<br>0:汎用入力<br>1:プログラムNo.指定（7ビットめ）<br>2:エラーリセット（ONエッジ） |
| 19A | 白-2 | 014 | 汎用入力 | No.44 入力機能選択014<br>0:汎用入力<br>1:駆動遮断解除入力（ONエッジ）<br>2:プログラムNo.指定（MSB：8ビットめ） |
| 20A | 黒-2 | 015 | 汎用入力 | No.45 入力機能選択015<br>0:汎用入力<br>1:全有効軸原点復帰（ONエッジ）<br>2:全インクリメント有効軸原点復帰（ONエッジ） |

</contents>
