ファイル名: RSEL(MJ0392-4M)_page298

<overview>
このページは「5.7.5 SELデーター一覧」というタイトルのセクションで構成されています。主に表形式で、SELデータの各機能に対応するグローバル領域とローカル領域の範囲や数値が示されています。テキストは表の注釈として補足説明が付されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 5.7.5 SELデーター一覧
SELデータの各機能に対応するグローバル領域とローカル領域の範囲を一覧表で示しています。

注釈：
1. 実数変数 20000-29999、ストリング 10000-41999 はメインアプリ部 V1.17 以降対応。
2. 仮想入出力ポートの詳細は「SEL言語プログラミングマニュアル（MJ0224）2.1.10 RSELコントローラー【2】仮想入出力ポート」を参照。

### 表
#### SELデーター一覧

| 機能                     | グローバル領域                         | ローカル領域               |
|--------------------------|--------------------------------------|----------------------------|
| 入力ポート               | 000-299（300）                       | －                         |
| 出力ポート               | 300-599（300）                       | －                         |
| 拡張入力ポート           | 1000-3999（3,000）                   | －                         |
| 拡張出力ポート           | 4000-6999（3,000）                   | －                         |
| フラグ                   | 600-899（300）                       | 900-999（100）             |
| 整数変数                 | 200-299（100）<br>1200-1299（100）<br>2000-2799（800） | 1-99（99）<br>1001-1099（99） |
| 実数変数（注1）          | 300-399（100）<br>1300-1399（100）<br>20000-29999（10000） | 100-199（100）<br>1100-1199（100） |
| ストリング（注1）        | 300-999（700）<br>10000-41999（32000） | 1-299（299）              |
| タグ No.                 | －                                   | 1-256（256）               |
| サブルーチン No.         | －                                   | 1-99（99）                 |
| ワーク座標系 No.         | 0-15（16）                          | －                         |
| ツール座標系 No.         | 0-15（16）                          | －                         |
| 簡易干渉チェックゾーン No.| 1-10（10）                         | －                         |
| ゾーン No.               | 1-4（4）                           | －                         |
| パレタイズ No.           | －                                   | －                         |
| 軸 No.                   | 1-8（8）                           | －                         |
| 軸パターン               | 0-11111111                         | －                         |
| 軸グループ No.           | 1-2                                | －                         |
| ポジションデータ数       | 軸グループ数1：36,000<br>軸グループ数2：18,000 | －                         |
| ポジションコメント（半角32文字） | 最大10,000ポジション               | －                         |
| プログラム No.           | 1-512（512）                       | －                         |
| ステップ No.             | 1-20,000（20,000）                 | －                         |
| タスクレベル             | NORMAL/HIGH（2）                   | －                         |
| SIOチャネル No.          | 1（1）                            | －                         |
| WAITタイマー             | －                                   | 1                         |
| 1ショットパルスタイマー（同時動作可能数） | －                                   | 16                        |
| ラダータイマー           | －                                   | ローカルフラグ（100）      |
| 仮想入出力ポート（注2）  | 7000-7599（600）                   | －                         |
| シンボル定義数           | 2,000                             |                            |
| コマンド内シンボル使用回数 | 20,000（リテラルと合わせて）       |                            |
| エラー履歴数             | 400                               |                            |
</contents>
