ファイル名: RSEL(MJ0392-4M)_page341

<overview>
このページはDeviceNet接続仕様に関する内容で構成されています。上部にDeviceNetの接続部の写真とLED表示部の写真があり、その下にDeviceNetインターフェイス仕様の説明表、さらにI/OスロットのステータスLEDの状態を示す表が配置されています。テキストは主に仕様説明とLEDの状態解説で、表形式で詳細な情報が整理されています。グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### DeviceNet接続仕様
DeviceNetの接続部の写真と、MS（マスターステータス）およびNS（ネットワークステータス）LEDの表示部の写真が掲載されています。

#### DeviceNetインターフェイス仕様
| 項目       | 内容                                                                                   |
|------------|----------------------------------------------------------------------------------------|
| 通信規格   | DeviceNet2.0<br>グループ2 オンリーサーバー                                           |
| 通信方式   | ・ビットストローブ<br>・ポーリング<br>・サイクリック/チェンジ オブ ステート           |
| 占有ノード数 | 1                                                                                      |
| ノードアドレス | 0～63（I/Oパラメーターによるソフトウェア設定）                                       |
| 通信速度   | 500k/250k/125kbps（I/Oパラメーターによるソフトウェア設定）                            |

#### I/OスロットステータスLED
| LED名称 | 色     | 状態   | 内容                                   |
|---------|--------|--------|--------------------------------------|
| MS      | 緑     | 点灯   | 通常運転                             |
|         |        | 点滅   | コンフィグレーション情報がないか不完全な状態 |
|         | 橙     | 点灯   | 故障（回復不可能）                   |
|         |        | 点滅   | 故障（回復可能）                     |
|         | 緑/橙  | 交互   | 自己診断中                           |
| NS      | 緑     | 点灯   | オンライン状態                       |
|         |        | 点滅   | オンライン状態（コネクション確立なし） |
|         | 橙     | 点灯   | エラー発生                         |
|         |        | 点滅   | 1つ以上のコネクションがタイムアウト |
|         | 緑/橙  | 交互   | 自己診断中                         |
</contents>
