ファイル名: RSEL(MJ0392-4M)_page352

<overview>
本ページは「機能仕様」に関する技術文書の一部であり、主に入力出力ポートの割付に関する仕様説明が記載されています。構成は以下の通りです。
- テキスト部分：入力出力ポートの割付範囲や最小割付点数、異常監視機能などの仕様説明。
- 表部分：自動割付および固定割付の入力出力ポート番号範囲と割付条件、異常監視機能の有無をまとめた表。
- 表部分（参考）：フィールドネットワークとPIOのI/O仕様と割付ポート番号の対応表。
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 機能仕様
- 入出力ポート側の最終割付けポートNo.は、入力ポートがNo.295、出力ポートがNo.595となり、残りは拡張入力ポートNo.1000、拡張出力ポートNo.4000から割付ける。
- 入力ポートNo.296～299、出力ポートNo.596～599は未使用領域。
- 入出力ポート側の最小割付点数は、フィールドネットワークは8点、PIO/SIO/SCON拡張ユニット・PIOユニットは16点。
- 固定割付けで開始ポートNo.を入出力ポート側から割付ける場合は、最小割付点数確保可能なポートNo.を設定する必要があり、確保不可能なポートNo.を設定するとエラーとなる。
- 異常監視機能（断線検出機能）、断線時の入力ポートデータ選択機能、分割割付機能がある。

### 表
#### 入出力ポート割付仕様

| 項目           | 仕様           | 備考                                                                                     |
| :------------- | :------------- | :--------------------------------------------------------------------------------------- |
| 自動割付       | 入力ポートNo.  | 0～299、1000～3999<br>フィールドネットワークまたはPIOモジュール→PIO/SIO/SCON拡張ユニット・PIOユニットの順にポートNo.0から割付けられる。 |
|                | 出力ポートNo.  | 300～599、4000～6999<br>フィールドネットワークまたはPIOモジュール→PIO/SIO/SCON拡張ユニット・PIOユニットの順にポートNo.300から割付けられる。 |
| 固定割付       | 入力ポートNo.  | 0～299、1000～3999<br>フィールドネットワークまたはPIOモジュール、PIO/SIO/SCON拡張ユニット・PIOユニット使用時、本ポートに割付けられる。 |
|                | 出力ポートNo.  | 300～599、4000～6999<br>フィールドネットワークまたはPIOモジュール、PIO/SIO/SCON拡張ユニット・PIOユニット使用時、本ポートに割付けられる。 |
| 異常監視機能   | あり           | 断線検出機能                                                                             |
| 断線時の入力ポートデータ選択機能 | あり           | 断線時のRSEL入力ポートデータクリアー/ホールド選択                                     |
| 分割割付機能   | あり           |                                                                                          |

#### 参考：フィールドネットワーク1024点、PIO128点を自動割付けで使用する場合のI/O仕様と割付ポートNo.

| I/O仕様         | 入出力 | 割付ポートNo.                         |
| :-------------- | :----- | :---------------------------------- |
| フィールドネットワーク | 入力   | 0～295（296点）、1000～1727（728点） |
|                 | 出力   | 300～595（296点）、4000～4727（728点） |
| PIO             | 入力   | 1728～1855（128点）                  |
|                 | 出力   | 4728～4855（128点）                  |
</contents>
