ファイル名: RSEL(MJ0392-4M)_page389

<overview>
このページは主に表で構成されており、ユニットNo.ごとのピン番号、区分、信号名、ポートNo.の対応関係を示しています。テキストは表の補足説明として、ユニットNo.の付け方についての注釈が記載されています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ユニットNo.別ピン番号・信号名・ポートNo.対応表

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 3 | 1A | 24 | P24 | - | 1B | - | OUT0 | 348 |
| 3 | 2A | 24 | P24 | - | 2B | - | OUT1 | 349 |
| 3 | 3A | - | - | - | 3B | - | OUT2 | 350 |
| 3 | 4A | - | - | - | 4B | - | OUT3 | 351 |
| 3 | 5A | 入力 | IN0 | 048 | 5B | 出力 | OUT4 | 352 |
| 3 | 6A | 入力 | IN1 | 049 | 6B | 出力 | OUT5 | 353 |
| 3 | 7A | 入力 | IN2 | 050 | 7B | 出力 | OUT6 | 354 |
| 3 | 8A | 入力 | IN3 | 051 | 8B | 出力 | OUT7 | 355 |
| 3 | 9A | 入力 | IN4 | 052 | 9B | 出力 | OUT8 | 356 |
| 3 | 10A | 入力 | IN5 | 053 | 10B | 出力 | OUT9 | 357 |
| 3 | 11A | 入力 | IN6 | 054 | 11B | 出力 | OUT10 | 358 |
| 3 | 12A | 入力 | IN7 | 055 | 12B | 出力 | OUT11 | 359 |
| 3 | 13A | 入力 | IN8 | 056 | 13B | 出力 | OUT12 | 360 |
| 3 | 14A | 入力 | IN9 | 057 | 14B | 出力 | OUT13 | 361 |
| 3 | 15A | 入力 | IN10 | 058 | 15B | 出力 | OUT14 | 362 |
| 3 | 16A | 入力 | IN11 | 059 | 16B | 出力 | OUT15 | 363 |
| 3 | 17A | 入力 | IN12 | 060 | 17B | - | - | - |
| 3 | 18A | 入力 | IN13 | 061 | 18B | - | - | - |
| 3 | 19A | 入力 | IN14 | 062 | 19B | 0 | N | - |
| 3 | 20A | 入力 | IN15 | 063 | 20B | 0 | N | - |
| 4 | 1A | 24 | P24 | - | 1B | - | OUT0 | 364 |
| 4 | 2A | 24 | P24 | - | 2B | - | OUT1 | 365 |
| 4 | 3A | - | - | - | 3B | - | OUT2 | 366 |
| 4 | 4A | - | - | - | 4B | - | OUT3 | 367 |
| 4 | 5A | 入力 | IN0 | 064 | 5B | 出力 | OUT4 | 368 |
| 4 | 6A | 入力 | IN1 | 065 | 6B | 出力 | OUT5 | 369 |
| 4 | 7A | 入力 | IN2 | 066 | 7B | 出力 | OUT6 | 370 |
| 4 | 8A | 入力 | IN3 | 067 | 8B | 出力 | OUT7 | 371 |
| 4 | 9A | 入力 | IN4 | 068 | 9B | 出力 | OUT8 | 372 |
| 4 | 10A | 入力 | IN5 | 069 | 10B | 出力 | OUT9 | 373 |
| 4 | 11A | 入力 | IN6 | 070 | 11B | 出力 | OUT10 | 374 |
| 4 | 12A | 入力 | IN7 | 071 | 12B | 出力 | OUT11 | 375 |
| 4 | 13A | 入力 | IN8 | 072 | 13B | 出力 | OUT12 | 376 |
| 4 | 14A | 入力 | IN9 | 073 | 14B | 出力 | OUT13 | 377 |
| 4 | 15A | 入力 | IN10 | 074 | 15B | 出力 | OUT14 | 378 |
| 4 | 16A | 入力 | IN11 | 075 | 16B | 出力 | OUT15 | 379 |
| 4 | 17A | 入力 | IN12 | 076 | 17B | - | - | - |
| 4 | 18A | 入力 | IN13 | 077 | 18B | - | - | - |
| 4 | 19A | 入力 | IN14 | 078 | 19B | 0 | N | - |
| 4 | 20A | 入力 | IN15 | 079 | 20B | 0 | N | - |

---

### テキスト
- ユニットNo.とは、SELユニット隣から順に1、2、……、8と付けたものです。
</contents>
