ファイル名: RSEL(MJ0392-4M)_page390

<overview>
このページは「6.2 機能仕様」に関する内容で、主に表形式で構成されています。内容はユニット番号ごとのピン番号、区分、信号名、ポート番号の対応関係を示した詳細な仕様表です。テキスト部分は少なく、注釈が1箇所あります。表は2つの大きなセクションに分かれており、それぞれユニットNo.5と6の入力・出力ピンの仕様を示しています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ユニットNo.5および6のピン仕様一覧

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
|:------------|:---------|:-----|:-------|:----------|:---------|:-----|:-------|:----------|
| 5           | 1A       | 24   | P24    | -         | 1B       |      | OUT0   | 380       |
|             | 2A       | 24   | P24    | -         | 2B       |      | OUT1   | 381       |
|             | 3A       | -    | -      | -         | 3B       |      | OUT2   | 382       |
|             | 4A       | -    | -      | -         | 4B       |      | OUT3   | 383       |
|             | 5A       |      | IN0    | 080       | 5B       |      | OUT4   | 384       |
|             | 6A       |      | IN1    | 081       | 6B       |      | OUT5   | 385       |
|             | 7A       |      | IN2    | 082       | 7B       |      | OUT6   | 386       |
|             | 8A       |      | IN3    | 083       | 8B       |      | OUT7   | 387       |
|             | 9A       |      | IN4    | 084       | 9B       | 0    | OUT8   | 388       |
|             | 10A      |      | IN5    | 085       | 10B      |      | OUT9   | 389       |
|             | 11A      |      | IN6    | 086       | 11B      |      | OUT10  | 390       |
|             | 12A      |      | IN7    | 087       | 12B      |      | OUT11  | 391       |
|             | 13A      |      | IN8    | 088       | 13B      |      | OUT12  | 392       |
|             | 14A      |      | IN9    | 089       | 14B      |      | OUT13  | 393       |
|             | 15A      |      | IN10   | 090       | 15B      |      | OUT14  | 394       |
|             | 16A      |      | IN11   | 091       | 16B      |      | OUT15  | 395       |
|             | 17A      |      | IN12   | 092       | 17B      | -    | -      | -         |
|             | 18A      |      | IN13   | 093       | 18B      | -    | -      | -         |
|             | 19A      |      | IN14   | 094       | 19B      | 0    | N      | -         |
|             | 20A      |      | IN15   | 095       | 20B      | 0    | N      | -         |

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
|:------------|:---------|:-----|:-------|:----------|:---------|:-----|:-------|:----------|
| 6           | 1A       | 24   | P24    | -         | 1B       |      | OUT0   | 396       |
|             | 2A       | 24   | P24    | -         | 2B       |      | OUT1   | 397       |
|             | 3A       | -    | -      | -         | 3B       |      | OUT2   | 398       |
|             | 4A       | -    | -      | -         | 4B       |      | OUT3   | 399       |
|             | 5A       |      | IN0    | 096       | 5B       |      | OUT4   | 400       |
|             | 6A       |      | IN1    | 097       | 6B       |      | OUT5   | 401       |
|             | 7A       |      | IN2    | 098       | 7B       |      | OUT6   | 402       |
|             | 8A       |      | IN3    | 099       | 8B       |      | OUT7   | 403       |
|             | 9A       |      | IN4    | 100       | 9B       |      | OUT8   | 404       |
|             | 10A      |      | IN5    | 101       | 10B      |      | OUT9   | 405       |
|             | 11A      |      | IN6    | 102       | 11B      |      | OUT10  | 406       |
|             | 12A      |      | IN7    | 103       | 12B      |      | OUT11  | 407       |
|             | 13A      |      | IN8    | 104       | 13B      |      | OUT12  | 408       |
|             | 14A      |      | IN9    | 105       | 14B      |      | OUT13  | 409       |
|             | 15A      |      | IN10   | 106       | 15B      |      | OUT14  | 410       |
|             | 16A      |      | IN11   | 107       | 16B      |      | OUT15  | 411       |
|             | 17A      |      | IN12   | 108       | 17B      | -    | -      | -         |
|             | 18A      |      | IN13   | 109       | 18B      | -    | -      | -         |
|             | 19A      |      | IN14   | 110       | 19B      | 0    | N      | -         |
|             | 20A      |      | IN15   | 111       | 20B      | 0    | N      | -         |

#### 注釈
- ユニットNo.とは、SELユニット隣から順に1、2、……、8と付けたものです。

</contents>
