ファイル名: RSEL(MJ0392-4M)_page391

<overview>
本ページは表形式で構成されており、主にユニットNo.ごとのピン番号、区分、信号名、ポートNo.の対応関係を示しています。ページ全体は2つの大きな表に分かれており、それぞれユニットNo.7とユニットNo.8に関する情報を記載しています。表は入力信号と出力信号に分かれており、各信号の詳細なピン配置やポート番号が一覧化されています。テキスト部分は表の下に注釈が1行あるのみで、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### ユニットNo.7および8のピン番号・信号名対応表

| ユニットNo. | ピン番号 | 区分 | 信号名 | ポートNo. | ピン番号 | 区分 | 信号名 | ポートNo. |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 7 | 1A | 24 | P24 | - | 1B | - | OUT0 | 412 |
| 7 | 2A | 24 | P24 | - | 2B | - | OUT1 | 413 |
| 7 | 3A | - | - | - | 3B | - | OUT2 | 414 |
| 7 | 4A | - | - | - | 4B | - | OUT3 | 415 |
| 7 | 5A | 入力 | IN0 | 112 | 5B | 出力 | OUT4 | 416 |
| 7 | 6A | 入力 | IN1 | 113 | 6B | 出力 | OUT5 | 417 |
| 7 | 7A | 入力 | IN2 | 114 | 7B | 出力 | OUT6 | 418 |
| 7 | 8A | 入力 | IN3 | 115 | 8B | 出力 | OUT7 | 419 |
| 7 | 9A | 入力 | IN4 | 116 | 9B | 出力 | OUT8 | 420 |
| 7 | 10A | 入力 | IN5 | 117 | 10B | 出力 | OUT9 | 421 |
| 7 | 11A | 入力 | IN6 | 118 | 11B | 出力 | OUT10 | 422 |
| 7 | 12A | 入力 | IN7 | 119 | 12B | 出力 | OUT11 | 423 |
| 7 | 13A | 入力 | IN8 | 120 | 13B | 出力 | OUT12 | 424 |
| 7 | 14A | 入力 | IN9 | 121 | 14B | 出力 | OUT13 | 425 |
| 7 | 15A | 入力 | IN10 | 122 | 15B | 出力 | OUT14 | 426 |
| 7 | 16A | 入力 | IN11 | 123 | 16B | 出力 | OUT15 | 427 |
| 7 | 17A | 入力 | IN12 | 124 | 17B | - | - | - |
| 7 | 18A | 入力 | IN13 | 125 | 18B | - | - | - |
| 7 | 19A | 入力 | IN14 | 126 | 19B | 0 | N | - |
| 7 | 20A | 入力 | IN15 | 127 | 20B | 0 | N | - |
| 8 | 1A | 24 | P24 | - | 1B | - | OUT0 | 428 |
| 8 | 2A | 24 | P24 | - | 2B | - | OUT1 | 429 |
| 8 | 3A | - | - | - | 3B | - | OUT2 | 430 |
| 8 | 4A | - | - | - | 4B | - | OUT3 | 431 |
| 8 | 5A | 入力 | IN0 | 128 | 5B | 出力 | OUT4 | 432 |
| 8 | 6A | 入力 | IN1 | 129 | 6B | 出力 | OUT5 | 433 |
| 8 | 7A | 入力 | IN2 | 130 | 7B | 出力 | OUT6 | 431 |
| 8 | 8A | 入力 | IN3 | 131 | 8B | 出力 | OUT7 | 435 |
| 8 | 9A | 入力 | IN4 | 132 | 9B | 出力 | OUT8 | 436 |
| 8 | 10A | 入力 | IN5 | 133 | 10B | 出力 | OUT9 | 437 |
| 8 | 11A | 入力 | IN6 | 134 | 11B | 出力 | OUT10 | 438 |
| 8 | 12A | 入力 | IN7 | 135 | 12B | 出力 | OUT11 | 439 |
| 8 | 13A | 入力 | IN8 | 136 | 13B | 出力 | OUT12 | 440 |
| 8 | 14A | 入力 | IN9 | 137 | 14B | 出力 | OUT13 | 441 |
| 8 | 15A | 入力 | IN10 | 138 | 15B | 出力 | OUT14 | 442 |
| 8 | 16A | 入力 | IN11 | 139 | 16B | 出力 | OUT15 | 443 |
| 8 | 17A | 入力 | IN12 | 140 | 17B | - | - | - |
| 8 | 18A | 入力 | IN13 | 141 | 18B | - | - | - |
| 8 | 19A | 入力 | IN14 | 142 | 19B | 0 | N | - |
| 8 | 20A | 入力 | IN15 | 143 | 20B | 0 | N | - |

---

※注釈：ユニットNo.とは、SELユニット隣から順に1、2、……、8と付けたものです。

</contents>
