ファイル名: RSEL(MJ0392-4M)_page394

<overview>
このページは「6.3 パラメーター設定」に関する内容で構成されています。  
テキスト部分ではEtherNet/IPおよびCC-Link IE FieldのI/Oパラメーター設定について説明しています。  
表部分は、EtherNet/IP用のI/OパラメーターNo.132～143とCC-Link IE Field用のI/OパラメーターNo.228の詳細なパラメーター名称、入力範囲、単位、備考を示しています。  
グラフや図は含まれていません。
</overview>

<contents>
### テキスト
EtherNet/IP時は、I/OパラメーターNo.132～143にRSELシステムのTCP/IP設定（IPアドレス、サブネットマスク、デフォルトゲートウェイ）を設定する必要があります。  
CC-Link IE Field時は、ノードアドレスのほかにI/OパラメーターNo.228にネットワーク番号を設定してください。  
PIOモジュール、PROFINET IOは設定不要です。

### 表
#### EtherNet/IP用I/Oパラメーター設定一覧

| No.  | パラメーター名称                         | 入力範囲 | 単位 | 備考                                      |
| :--- | :------------------------------------- | :------- | :--- | :---------------------------------------- |
| 132  | I/Oフィールドバス 自IPアドレス（H）    | 1～255   |      | ※0、および127は設定禁止<br>※PROFINET IO時は設定不要 |
| 133  | I/Oフィールドバス 自IPアドレス（MH）   | 0～255   |      | ※PROFINET IO時は設定不要                  |
| 134  | I/Oフィールドバス 自IPアドレス（ML）   | 0～255   |      | ※PROFINET IO時は設定不要                  |
| 135  | I/Oフィールドバス 自IPアドレス（L）    | 1～254   |      | ※0、および255は設定禁止<br>※PROFINET IO時は設定不要 |
| 136  | I/Oフィールドバス サブネットマスク（H）| 0～255   |      | ※PROFINET IO時は設定不要                  |
| 137  | I/Oフィールドバス サブネットマスク（MH）| 0～255  |      | ※PROFINET IO時は設定不要                  |
| 138  | I/Oフィールドバス サブネットマスク（ML）| 0～255  |      | ※PROFINET IO時は設定不要                  |
| 139  | I/Oフィールドバス サブネットマスク（L）| 0～255   |      | ※PROFINET IO時は設定不要                  |
| 140  | I/Oフィールドバス デフォルトゲートウェイ（H）| 0～255 |      | ※PROFINET IO時は設定不要                  |
| 141  | I/Oフィールドバス デフォルトゲートウェイ（MH）| 0～255|      | ※PROFINET IO時は設定不要                  |
| 142  | I/Oフィールドバス デフォルトゲートウェイ（ML）| 0～255|      | ※PROFINET IO時は設定不要                  |
| 143  | I/Oフィールドバス デフォルトゲートウェイ（L）| 0～255 |      | ※PROFINET IO時は設定不要                  |

#### CC-Link IE Field用I/Oパラメーター設定

| No.  | パラメーター名称                     | 入力範囲       | 単位 | 備考                                      |
| :--- | :--------------------------------- | :------------- | :--- | :---------------------------------------- |
| 228  | I/O1フィールドバスネットワーク番号 | 0～99,999,999  |      | ・CC-Link IE Field時:1～239<br>※CC-Link IE Field以外時は設定不要 |

</contents>
