ファイル名: RSEL(MJ0392-4M)_page397

<overview>
このページは「6.3 パラメーター設定」セクションの一部であり、SELプログラムによるシリアル通信の通信仕様設定に関する内容です。ページ構成は以下の通りです。
- テキスト部分：SELプログラムによるシリアル通信の概要説明と通信仕様設定の指示
- 表部分：通信仕様設定に必要なI/Oパラメーターの詳細を示した表（パラメーター名、入力範囲、単位、備考）
- グラフや図はなし
</overview>

<contents>
### テキスト
#### SELプログラムによるシリアル通信
下記I/Oパラメーターにより、通信仕様を設定してください。

### 表
| No.  | パラメーター名称                  | 入力範囲           | 単位 | 備考                                                                                                  |
| :--- | :------------------------------ | :----------------- | :--- | :---------------------------------------------------------------------------------------------------- |
| 201  | ユーザー開放 SIO チャンネル1属性1 | 0H～FFFFFFFFH      |      | - ビット28-31：ボーレート種別 (0:9.6, 1:19.2, 2:38.4, 3:57.6, 4:76.8, 5:115.2, 6:230.4kbps)          |
|      |                                 |                    |      | - ビット24-27：データ長 (7～8)                                                                       |
|      |                                 |                    |      | - ビット20-23：ストップビット長 (1～2)                                                              |
|      |                                 |                    |      | - ビット16-19：パリティー種別 (0:無し, 1:奇数, 2:偶数)                                              |
|      |                                 |                    |      | - ビット12-15：通信モード (0:SELプログラム, 1:システム予約, 2:XSELシリアル通信プロトコル(フォーマットB)) (メインアプリ部V1.09以降) |
|      |                                 |                    |      | - ビット4-11：将来拡張用                                                                               |
|      |                                 |                    |      | - ビット0-3：使用選択 (0:不使用, 1:使用)                                                             |
|      |                                 |                    |      | ※アプリケーションレベルで使用                                                                           |
</contents>
