ファイル名: RSEL(MJ0392-4M)_page403

<overview>
本ページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。ページ全体はパラメーターの一覧表で構成されており、各パラメーターの番号、名称、出荷時設定値、設定値、単位、備考が記載されています。テキスト部分は表の説明や備考欄に含まれています。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター設定一覧（抜粋）

| No.  | パラメーター名称                         | 出荷時設定値 | 設定値    | 単位 | 備考                                                                                              |
| :--- | :------------------------------------- | :----------- | :-------- | :--- | :------------------------------------------------------------------------------------------------ |
| 187  | オプションユニット固定割付け時入力ポート開始No. | -1           | 0         |      | 0 + (8の倍数)(0～299)、1,000 + (8の倍数)(1,000～3,999)（マイナス時無効）                          |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1           | 300       |      | 300 + (8の倍数)(300～599)、4,000 + (8の倍数)(4,000～6,999)（マイナス時無効）                      |
| 189  | PIOユニット・PIO/SIOユニット異常監視       | 1            | 1         |      | 0:非監視、1:監視、2:監視(24V I/O電源関連エラー非監視)、3:監視(24V I/O電源関連エラーのみ監視)、4:監視(24V I/O電源関連エラーをメッセージレベルにする) ※一部例外あり |
| 190  | オプションユニット属性1                     | C800200H     | 任意      |      | ビット0-3: TF通信異常時PIOユニット出力ポートデータ選択(0:クリアー、1:ホールド) ビット4-7: TF通信異常時PIOユニット入力ポートデータ選択(0:クリアー、1:ホールド) ビット8-15: TF通信リンク異常確認タイマー値(10ms) ビット20-31: TF通信初期化時リンクタイムアウト値(100ms) |
| 225  | I/Oコントロール                             | 1H           | 1H        |      | ビット0-7: I/O1モジュール種別 (0H:未実装、1H:CC-Link、2H:DeviceNet、3H:PROFIBUS-DP、6H:EtherCAT、7H:EtherNet/IP、9H:PIO、AH:PROFINET IO、DH:CC-Link IE) |
| 226  | I/O1フィールドバスノードアドレス             | 1            | 任意      |      | 設定可能範囲 1～64                                                                              |
| 227  | I/O1フィールドバス通信速度                   | 4            | 任意      |      | 0:156kbps、1:625kbps、2:2.5Mbps、3:5Mbps、4:10Mbps                                             |

</contents>
