ファイル名: RSEL(MJ0392-4M)_page406

<overview>
このページは「6.3 パラメーター設定」に関する内容で、CC-Link IE Fieldの入出力ポート設定について説明しています。構成は以下の通りです。
- テキスト部分：CC-Link IE Fieldの入出力ポートの説明と設定用途の概要
- 画像部分：CC-Link IE Fieldの機器写真と入出力ポートの位置を示す図
- 表部分：パラメーター番号、名称、出荷時設定値、設定値、単位、備考をまとめた詳細なパラメーター一覧表
</overview>

<contents>
### テキスト
#### CC-Link IE Field のみのパラメーター設定
CC-Link IE Fieldの入出力ポートの先頭（No.0～、300～）から、入出力各16点（リモートレジスター未使用）を使用する場合の設定について説明しています。

### 画像
CC-Link IE Field機器の写真があり、左側のポートに「入力ポート No.0～15」「出力ポート No.300～315」とラベル付けされています。

### 表
#### パラメーター一覧

| No. | パラメーター名称                              | 出荷時設定値 | 設定値 | 単位 | 備考                                                                                      |
|:----|:---------------------------------------------|:-------------|:-------|:-----|:------------------------------------------------------------------------------------------|
| 1   | 入出力ポート割付け種別                        | 0            | 0      |      | 0:固定割付け 1:自動割付け                                                                |
| 14  | I/O1 フィールドバスリモート入力使用ポート数  | 64           | 16     |      | 8の倍数                                                                                   |
| 15  | I/O1 フィールドバスリモート出力使用ポート数  | 64           | 16     |      | 8の倍数                                                                                   |
| 16  | I/O1 固定割付け時入力ポート開始 No.           | 0            | 0      |      | 0 + (8の倍数)(0～299) 1,000 + (8の倍数)(1,000～3,999)(マイナス時無効)                     |
| 17  | I/O1 固定割付け時出力ポート開始 No.           | 300          | 300    |      | 300 + (8の倍数)(300～599) 4,000 + (8の倍数)(4,000～6,999)(マイナス時無効)                 |
| 18  | I/O1 異常監視                                | 1            | 1      |      | 0:非監視 1:監視 ※一部例外あり                                                           |
| 20  | 入力フィルタリング周期                         | 2            | 2      | ms   | 入力信号は本パラメーターの2倍時間の状態保持により認識される。                             |
| 120 | ネットワーク属性1                             | 641001H      | 任意   |      | ビット4-11:I/O1フィールドバスリンク異常確認タイマー値(10ms) ビット12-15:PROFINET IOコンフィグレーション時登録モジュールデータサイズ種別(0:1ワード、1:4ワード) ビット28-31:I/O1フィールドバスリンク異常時入力ポートデータ選択(0:クリアー、1:ホールド) |
| 121 | ネットワーク属性2                             | C80000H      | 任意   |      | ビット16-27:フィールドバス初期化時リンクタイムアウト値(100ms)                           |
| 130 | I/O フィールドバス自 MACアドレス (H)         | 0H           |        | MACアドレス表示 | 下位2バイトのみ有効                                                                        |
| 131 | I/O フィールドバス自 MACアドレス (L)         | 0H           |        | MACアドレス表示 |                                                                                           |
| 184 | CC-Link IE リモートレジスター（入力）ワード数 (RWw) | 2            | 0      |      | CC-Link IE時のリモートレジスターワード数（スレーブ局から見た入力）                        |
| 185 | CC-Link IE リモートレジスター（出力）ワード数 (RWr) | 2            | 0      |      | CC-Link IE時のリモートレジスターワード数（スレーブ局から見た出力）                        |
</contents>
