ファイル名: RSEL(MJ0392-4M)_page409

<overview>
このページはパラメーター設定に関する表形式の情報で構成されています。テキスト部分は主にパラメーターの説明や備考欄に記載されており、表部分が中心です。グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター設定一覧

| No.  | パラメーター名称                         | 出荷時設定値 | 設定値   | 単位          | 備考                                                                                             |
| :--- | :------------------------------------- | :----------- | :------- | :------------ | :----------------------------------------------------------------------------------------------- |
| 131  | I/Oフィールドバス自MACアドレス（L）    | 0H           | MACアドレス表示 |               |                                                                                                 |
| 184  | CC-Link IEリモートレジスター（入力）ワード数（RWw） | 2            | 10       |               | CC-Link IE時のリモートレジスターワード数（スレーブ局から見た入力）                               |
| 185  | CC-Link IEリモートレジスター（出力）ワード数（RWr） | 2            | 10       |               | CC-Link IE時のリモートレジスターワード数（スレーブ局から見た出力）                               |
| 186  | オプションユニット接続台数               | 0            | 3        | 台            | 入力、出力使用ポート数はそれぞれ接続台数×16となる                                               |
| 187  | オプションユニット固定割付け時入力ポート開始No. | -1           | 0        |               | 0 + (8の倍数)(0～299)、1,000 + (8の倍数)(1,000～3,999)（マイナス時無効）                        |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1           | 300      |               | 300 + (8の倍数)(300～599)、4,000 + (8の倍数)(4,000～6,999)（マイナス時無効）                   |
| 189  | PIOユニット・PIO/SIOユニット異常監視     | 1            | 1        |               | 0:非監視、1:監視、2:監視(24V I/O電源関連エラー非監視)、3:監視(24V I/O電源関連エラーのみ監視)、4:監視(24V I/O電源関連エラーをメッセージレベルにする) ※一部例外あり<br>ビット0-3:TF通信異常時PIOユニット出力ポートデータ選択(0:クリアー、1:ホールド)<br>ビット4-7:TF通信異常時PIOユニット入力ポートデータ選択(0:クリアー、1:ホールド)<br>ビット8-15:TF通信リンク異常確認タイマー値(10ms)<br>ビット20-31:TF通信初期化時リンクタイムアウト値(100ms) |
| 190  | オプションユニット属性1                 | C800200H     | 任意     |               | ビット0-7:I/O1モジュール種別(0H:未実装、1H:CC-Link、2H:DeviceNet、3H:PROFIBUS-DP、6H:EtherCAT、7H:EtherNet/IP、9H:PIO、AH:PROFINET IO、DH:CC-Link IE) |
| 225  | I/Oコントロール                         | DH           | DH       |               |                                                                                                 |
| 226  | I/O1フィールドバスノードアドレス         | 1            | 任意     |               | 設定可能範囲 1～120                                                                             |
| 228  | I/O1フィールドバスネットワーク番号       | 1            | 任意     |               | 設定可能範囲 1～239                                                                             |
</contents>
