ファイル名: RSEL(MJ0392-4M)_page416

<overview>
このページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。表にはパラメーター番号、名称、出荷時設定値、設定値、単位、備考が記載されており、各パラメーターの詳細な説明が含まれています。テキスト部分は表の説明や備考欄にあり、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター設定一覧

| No.  | パラメーター名称                          | 出荷時設定値 | 設定値   | 単位 | 備考                                                                                         |
| :--- | :--------------------------------------- | :----------- | :------- | :--- | :------------------------------------------------------------------------------------------- |
| 187  | オプションユニット固定割付け時入力ポート開始No. | -1           | -1       |      | 0 + (8の倍数)(0～299)<br>1,000 + (8の倍数)(1,000～3,999)<br>（マイナス時無効）               |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1           | -1       |      | 300 + (8の倍数)(300～599)<br>4,000 + (8の倍数)(4,000～6,999)<br>（マイナス時無効）           |
| 189  | PIOユニット・PIO/SIOユニット異常監視          | 1            | 1        |      | 0:非監視<br>1:監視<br>2:監視（24V I/O電源関連エラー非監視）<br>3:監視（24V I/O電源関連エラーのみ監視）<br>4:監視（24V I/O電源関連エラーをメッセージレベルにする）<br>※一部例外あり<br>ビット0-3:TF通信異常時PIOユニット出力ポートデータ選択（0:クリアー、1:ホールド）<br>ビット4-7:TF通信異常時PIOユニット入力ポートデータ選択（0:クリアー、1:ホールド）<br>ビット8-15:TF通信リンク異常確認タイマー値(10ms)<br>ビット20-31:TF通信初期化時リンクタイムアウト値(100ms) |
| 190  | オプションユニット属性1                      | C800200₁₆    | 任意     |      |                                                                                              |
| 225  | I/Oコントロール                             | 2₁₆         | 2₁₆      |      | ビット0-7:I/O1モジュール種別<br>0₁₆:未実装、1₁₆:CC-Link、2₁₆:DeviceNet、3₁₆:PROFIBUS-DP、6₁₆:EtherCAT、7₁₆:EtherNet/IP、9₁₆:PIO、A₁₆:PROFINET IO、D₁₆:CC-Link IE |
| 226  | I/O1フィールドバスノードアドレス              | 0            | 任意     |      | 設定可能範囲0～63                                                                           |
| 227  | I/O1フィールドバス通信速度                    | 2            | 任意     |      | 0:125kbps、1:250kbps、2:500kbps                                                           |

</contents>
