ファイル名: RSEL(MJ0392-4M)_page422

<overview>
本ページは「6.3 パラメーター設定」の一部で、EtherNet/IPの入出力ポート設定に関する説明が中心です。構成は以下の通りです。
- テキスト部分：EtherNet/IPの入出力ポートの先頭番号設定の説明
- 画像部分：EtherNet/IPモジュールの写真と入出力ポート番号の位置を示す図
- 表部分：パラメーター番号、名称、出荷時設定値、設定値、単位、備考をまとめた詳細なパラメーター一覧表
グラフやフローチャートは含まれていません。
</overview>

<contents>
### テキスト
#### EtherNet/IPのみのパラメーター設定
入出力ポートの先頭番号（No.0～、300～）から、EtherNet/IPを入出力各16点使用する場合の設定について説明しています。

### 画像
EtherNet/IPモジュールの写真に、入力ポートNo.0～15、出力ポートNo.300～315の位置を赤線で示しています。

### 表
#### EtherNet/IP用パラメーター一覧

| No. | パラメーター名称                          | 出荷時設定値 | 設定値 | 単位 | 備考                                                                                          |
|-----|-----------------------------------------|--------------|--------|------|-----------------------------------------------------------------------------------------------|
| 1   | 入出力ポート割付け種別                   | 1            | 1      |      | 0:固定割付け 1:自動割付け                                                                    |
| 14  | I/O1 フィールドバスリモート入力使用ポート数 | 0            | 16     |      | 8の倍数                                                                                      |
| 15  | I/O1 フィールドバスリモート出力使用ポート数 | 0            | 16     |      | 8の倍数                                                                                      |
| 16  | I/O1 固定割付け時入力ポート開始No.        | -1           | -1     |      | 0 + (8の倍数)(0～299) 1,000 + (8の倍数)(1,000～3,999) (マイナス時無効)                        |
| 17  | I/O1 固定割付け時出力ポート開始No.        | -1           | -1     |      | 300 + (8の倍数)(300～599) 4,000 + (8の倍数)(4,000～6,999) (マイナス時無効)                    |
| 18  | I/O1 異常監視                            | 1            | 1      |      | 0:非監視 1:監視 ※一部例外あり ビット4-11:I/O1フィールドバスリンク異常確認タイマー値(10ms) ビット28-31:I/O1フィールドバスリンク異常時入力ポートデータ選択(0:クリアー、1:ホールド) |
| 120 | ネットワーク属性1                        | 641001H      | 任意   |      | ビット4-11:I/O1フィールドバスリンク異常確認タイマー値(10ms) ビット28-31:I/O1フィールドバスリンク異常時入力ポートデータ選択(0:クリアー、1:ホールド) |
| 121 | ネットワーク属性2                        | C80000H      | 任意   |      | ビット16-27:フィールドバス初期化時リンクタイムアウト値(100ms)                              |
| 130 | I/Oフィールドバス自MACアドレス(H)       | 0H           | MACアドレス表示 |      | 下位2バイトのみ有効                                                                           |
| 131 | I/Oフィールドバス自MACアドレス(L)       | 0H           | MACアドレス表示 |      |                                                                                               |
| 132 | I/Oフィールドバス自IPアドレス(H)        | 192          | 任意   |      | ※0、および127は設定禁止                                                                      |
| 133 | I/Oフィールドバス自IPアドレス(MH)       | 168          | 任意   |      |                                                                                               |
| 134 | I/Oフィールドバス自IPアドレス(ML)       | 0            | 任意   |      |                                                                                               |
| 135 | I/Oフィールドバス自IPアドレス(L)        | 1            | 任意   |      | ※0、および255は設定禁止                                                                      |
| 136 | I/Oフィールドバスサブネットマスク(H)    | 255          | 任意   |      |                                                                                               |
| 137 | I/Oフィールドバスサブネットマスク(MH)   | 255          | 任意   |      |                                                                                               |
</contents>
