ファイル名: RSEL(MJ0392-4M)_page427

<overview>
このページは「6.3 パラメーター設定」に関する内容で、主に表形式で構成されています。表にはパラメーター番号、名称、出荷時設定値、設定値、単位、備考が記載されており、各パラメーターの詳細な設定内容や注意事項が説明されています。テキスト部分は少なく、表が主体で、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター設定一覧（抜粋）

| No.  | パラメーター名称                          | 出荷時設定値 | 設定値   | 単位 | 備考                                                                                         |
| :--- | :-------------------------------------- | :----------- | :------- | :--- | :------------------------------------------------------------------------------------------- |
| 131  | I/Oフィールドバス自MACアドレス（L）     | 0H           | MACアドレス表示 |      |                                                                                              |
| 132  | I/Oフィールドバス自IPアドレス（H）      | 192          | 任意     |      | ※0、および127は設定禁止                                                                     |
| 133  | I/Oフィールドバス自IPアドレス（MH）     | 168          | 任意     |      |                                                                                              |
| 134  | I/Oフィールドバス自IPアドレス（ML）     | 0            | 任意     |      |                                                                                              |
| 135  | I/Oフィールドバス自IPアドレス（L）      | 1            | 任意     |      | ※0、および255は設定禁止                                                                     |
| 136  | I/Oフィールドバスサブネットマスク（H）  | 255          | 任意     |      |                                                                                              |
| 137  | I/Oフィールドバスサブネットマスク（MH） | 255          | 任意     |      |                                                                                              |
| 138  | I/Oフィールドバスサブネットマスク（ML） | 255          | 任意     |      |                                                                                              |
| 139  | I/Oフィールドバスサブネットマスク（L）  | 0            | 任意     |      |                                                                                              |
| 140  | I/Oフィールドバスデフォルトゲートウェイ（H） | 0        | 任意     |      |                                                                                              |
| 141  | I/Oフィールドバスデフォルトゲートウェイ（MH）| 0        | 任意     |      |                                                                                              |
| 142  | I/Oフィールドバスデフォルトゲートウェイ（ML）| 0        | 任意     |      |                                                                                              |
| 143  | I/Oフィールドバスデフォルトゲートウェイ（L） | 0        | 任意     |      |                                                                                              |
| 186  | オプションユニット接続台数                | 0            | 3        | 台   | 入力、出力使用ポート数はそれぞれ接続台数×16となる。0+(8の倍数)(0～299)、1,000+(8の倍数)(1,000～3,999)、(マイナス時無効) |
| 187  | オプションユニット固定割付け時入力ポート開始No. | -1       | -1       |      | 300+(8の倍数)(300～599)、4,000+(8の倍数)(4,000～6,999)、(マイナス時無効)                     |
| 188  | オプションユニット固定割付け時出力ポート開始No. | -1       | -1       |      |                                                                                              |
| 189  | PIOユニット・PIO/SIOユニット異常監視      | 1            | 1        |      | 0:非監視、1:監視、2:監視(24V I/O電源関連エラー非監視)、3:監視(24V I/O電源関連エラーのみ監視)、4:監視(24V I/O電源関連エラーをメッセージレベルにする) ※一部例外あり<br>ビット0-3:TF通信異常時PIOユニット出力ポートデータ選択(0:クリアー、1:ホールド)<br>ビット4-7:TF通信異常時PIOユニット入力ポートデータ選択(0:クリアー、1:ホールド)<br>ビット8-15:TF通信リンク異常確認タイマー値(10ms)<br>ビット20-31:TF通信初期化時リンクタイムアウト値(100ms) |
| 190  | オプションユニット属性1                  | C800200H     | 任意     |      |                                                                                              |
| 225  | I/Oコントロール                          | 7H           | 7H       |      | ビット0-7:I/Oモジュール種別(0H:未実装、1H:CC-Link、2H:DeviceNet、3H:PROFIBUS-DP、6H:EtherCAT、7H:EtherNet/IP、9H:PIO、AH:PROFINET IO、DH:CC-Link IE) |
| 227  | I/O1フィールドバス通信速度                | 0            | 任意     |      | 0:オートネゴシエーション、1:10Mbps(半二重)、2:10Mbps(全二重)、3:100Mbps(半二重)、4:100Mbps(全二重) |

</contents>
