ファイル名: RSEL(MJ0392-4M)_page539

<overview>
本ページは「9.5 ビジョンシステムインターフェイス機能」に関するパラメーター設定表で構成されています。主にテキストと表で構成されており、各パラメーターの名称、出荷時設定値、入力範囲、単位、備考が詳細に記載されています。グラフや図は含まれていません。
</overview>

<contents>
### テキスト
#### 9.5 ビジョンシステムインターフェイス機能のパラメーター一覧
ビジョンシステムインターフェイスに関する各種パラメーターの設定値や入力範囲、備考が表形式で示されています。主にネットワーク属性、ユーザー開放チャンネルのポート番号、IPアドレス、MACアドレスなどの設定項目が含まれています。

### 表
| No.  | パラメーター名称                         | 出荷時設定値 | 入力範囲          | 単位 | 備考                                                                                              |
| :--- | :------------------------------------- | :----------- | :---------------- | :--- | :------------------------------------------------------------------------------------------------ |
| 127  | ネットワーク属性8                      | 5050214H     | 0H～FFFFFFFFH     |      | イーサネットTCP/IPメッセージ通信属性<br>ビット0-7：CONNECT_TIMEOUT（変更禁止、0禁止）[s]<br>ビット8-15：Connectionリトライ間隔（IAIプロトコルB/TCP）[s]<br>ビット16-23：Sendタイムアウト値[s]<br>ビット24-31：IAIプロトコルB-SIO無通信確認タイマー値[s]（IAIプロトコルB/TCP接続トリガー） |
| 129  | ネットワーク属性10                     | 0H           | 0H～FFFFFFFFH     |      | イーサネット動作規定<br>ビット0-3：システム予約<br>ビット4-7：TCP/IPメッセージ通信（0:非使用、1:使用）<br>ビット8-31：予約（動作規定） |
| 145  | ユーザー開放チャンネル31（TCP/IP）自ポート番号 | 64512        | 1025～65535       |      | ※要注意：各自ポート番号は必ず異なる番号を設定すること。IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可。 |
| 146  | ユーザー開放チャンネル32（TCP/IP）自ポート番号 | 64513        | 1025～65535       |      | ※要注意：各自ポート番号は必ず異なる番号を設定すること。IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可。 |
| 147  | ユーザー開放チャンネル33（TCP/IP）自ポート番号 | 64514        | 1025～65535       |      | ※要注意：各自ポート番号は必ず異なる番号を設定すること。IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可。 |
| 148  | ユーザー開放チャンネル34（TCP/IP）自ポート番号 | 64515        | 1025～65535       |      | ※要注意：各自ポート番号は必ず異なる番号を設定すること。IAIプロトコルB/TCP自ポート番号MANUモード/AUTOモード用のみ同一番号許可。 |
| 160  | ビジョンシステムI/F接続先IPアドレス（H）       | 192          | 0～255            |      | ※0、および127は設定禁止                                                                           |
| 161  | ビジョンシステムI/F接続先IPアドレス（MH）      | 168          | 0～255            |      |                                                                                                  |
| 162  | ビジョンシステムI/F接続先IPアドレス（ML）      | 0            | 0～255            |      |                                                                                                  |
| 163  | ビジョンシステムI/F接続先IPアドレス（L）       | 102          | 0～254            |      | ※0、および255は設定禁止                                                                          |
| 164  | ビジョンシステムI/F接続先ポート番号             | 64613        | 0～65535          |      | ※ビジョンシステムI/Fは、IAIコントローラー側クライアント（自ポート番号自動割付）仕様限定<br>※0設定禁止 |
| 170  | イーサネットI/F自MACアドレス（H）               | 0H           | 参照のみ（HEX）   |      | 下位2バイトのみ有効                                                                              |
| 171  | イーサネットI/F自MACアドレス（L）               | 0H           | 参照のみ（HEX）   |      |                                                                                                  |
| 172  | イーサネットI/F自IPアドレス（H）                 | 192          | 1～255            |      | ※0、および127は設定禁止                                                                          |
| 173  | イーサネットI/F自IPアドレス（MH）                | 168          | 0～255            |      |                                                                                                  |
| 174  | イーサネットI/F自IPアドレス（ML）                | 0            | 0～255            |      |                                                                                                  |
| 175  | イーサネットI/F自IPアドレス（L）                 | 1            | 1～254            |      | ※0、および255は設定禁止                                                                          |
</contents>
