ファイル名: RSEL(MJ0392-4M)_page544

<overview>
本ページは「ビジョンシステムインターフェイス機能」に関するエラー一覧表で構成されています。主に表形式で、エラー番号、エラー名称、内容・原因および対処方法が記載されています。テキストはエラーの詳細説明と対処手順で構成されており、図やグラフは含まれていません。
</overview>

<contents>
### 表
#### ビジョンシステムインターフェイス機能 エラー一覧

| エラーNo. | エラー名称                         | 内容・原因 / 対処方法                                                                                                   |
| :------- | :-------------------------------- | :--------------------------------------------------------------------------------------------------------------------- |
| 413      | ビジョンシステム I/F 撮像位置不良エラー | 【内容・原因】<br>①GTVD命令実行時のZ軸位置が異常だった<br>【対処方法】<br>①Z軸の位置を正常な位置に移動させてから、GTVD命令を実行する |
| 414      | SIO 非オープンエラー              | 【内容・原因】<br>①オープンしていないチャンネルを使用しようとした<br>【対処方法】<br>①使用したいチャンネルがオープンされているか確認する |
| 415      | SIO 他タスク使用中エラー          | 【内容・原因】<br>①他タスクで既にオープンしているチャンネルを再度オープンしようとした<br>【対処方法】<br>①オープンするチャンネルを確認する |
| 416      | SIO 通信モードエラー              | 【内容・原因】<br>①OPEN、CLOS、READ、WRIT命令などで通信使用中のチャンネルに対して、ビジョンシステム命令（SLVS）を実行した<br>②ビジョンシステムI/F機能使用中のチャンネルに対して、通信命令（OPEN、CLOS、READ、WRIT命令など）を実行した<br>【対処方法】<br>①、②のいずれか1つのチャンネルに対して通信命令（OPEN、CLOS、READ、WRIT命令など）とビジョンシステム命令（SLVSなど）を同時に実行しないようにする |
| 417      | SIO 多重 WRIT 実行エラー          | 【内容・原因】<br>①複数のタスクで同時に同一チャンネルに対し、WRIT命令が実行された<br>【対処方法】<br>①同一タイミングで同一チャンネルに送信していないか確認 |
| 430      | ウェイト時タイムアウト時間設定範囲オーバーエラー | 【内容・原因】<br>①WT□□命令のタイムアウト時間が設定範囲外<br>【対処方法】<br>①エラーが発生したプログラムステップのWT□□命令のタイムアウト時間の設定値を確認する<br>設定範囲：0.01～99秒 |
| 473      | イーサネット非クローズソケットオープンエラー | 【内容・原因】<br>①ソケットをクローズせずに、再度オープンしようとした<br>【対処方法】<br>①ソケットをクローズしてから、再度オープンする |

</contents>
