ファイル名: RSEL(MJ0392-4M)_page565

<overview>
本ページは「パラメーター一覧（SELユニット）」に関する内容で、主に表形式で構成されています。ページ全体はパラメーター番号、名称、出荷時設定値、入力範囲、単位、備考・考察の6つのカラムからなる表が占めています。テキスト部分は表内の備考欄に詳細な説明が記載されており、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称       | 出荷時設定値 | 入力範囲 | 単位 | 備考・考察                                                                                                   |
|-----|------------------------|--------------|----------|------|-------------------------------------------------------------------------------------------------------------|
| 50  | 出力機能選択 304       | 0            | 0～5     |      | 0:汎用出力<br>1:全有効軸原点(=0)時出力<br>2:全有効軸原点復帰完了状態(座標確定)時出力<br>※ABSエンコーダー軸を座標0に移動させる場合はHOME命令ではなくMOVP命令を使用<br>注意: I/OパラメーターNo.303“出力機能選択304割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 51  | 出力機能選択 305       | 0            | 0～5     |      | 0:汎用出力<br>1:第1軸インポジション出力(押付空振り時OFF)<br>2:第1軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.304“出力機能選択305割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 52  | 出力機能選択 306       | 0            | 0～5     |      | 0:汎用出力<br>1:第2軸インポジション出力(押付空振り時OFF)<br>2:第2軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.305“出力機能選択306割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 53  | 出力機能選択 307       | 0            | 0～5     |      | 0:汎用出力<br>1:第3軸インポジション出力(押付空振り時OFF)<br>2:第3軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.306“出力機能選択307割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 54  | 出力機能選択 308       | 0            | 0～5     |      | 0:汎用出力<br>1:第4軸インポジション出力(押付空振り時OFF)<br>2:第4軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.307“出力機能選択308割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 55  | 出力機能選択 309       | 0            | 0～5     |      | 0:汎用出力<br>1:第5軸インポジション出力(押付空振り時OFF)<br>2:第5軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.308“出力機能選択309割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 56  | 出力機能選択 310       | 0            | 0～5     |      | 0:汎用出力<br>1:第6軸インポジション出力(押付空振り時OFF)<br>2:第6軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.309“出力機能選択310割付ポートNo.”で機能割付ポートNo.の変更可能 |
| 57  | 出力機能選択 311       | 0            | 0～5     |      | 0:汎用出力<br>1:第7軸インポジション出力(押付空振り時OFF)<br>2:第7軸サーボON中出力(システム監視タスク出力)<br>3:システム予約<br>注意: I/OパラメーターNo.310“出力機能選択311割付ポートNo.”で機能割付ポートNo.の変更可能 |

</contents>
