ファイル名: RSEL(MJ0392-4M)_page574

<overview>
本ページは「10.2 パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はI/Oパラメーターの詳細な一覧で、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考・考察が記載されています。テキスト部分は表の説明や備考欄に含まれ、グラフや図はありません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）

| No. | パラメーター名称               | 出荷時設定値       | 入力範囲                     | 単位 | 備考・考察                                                                                                         |
|:----|:------------------------------|:-------------------|:----------------------------|:-----|:------------------------------------------------------------------------------------------------------------------|
| 214 | システム予約                   | 00000001₁₆        | 0₁₆～FFFFFFFF₁₆             |      |                                                                                                                   |
| 215 | システム予約                   | 01118040₁₆        | 0₁₆～FFFFFFFF₁₆             |      |                                                                                                                   |
| 216 | システム予約                   | 00000000₁₆        | 0₁₆～FFFFFFFF₁₆             |      |                                                                                                                   |
| 217～218 | システム予約               | 0B                 | 0B～11111111₂               |      |                                                                                                                   |
| 219～224 | システム予約               | 00000000₁₆        | 0₁₆～FFFFFFFF₁₆             |      |                                                                                                                   |
| 225 | I/Oコントロール                | コントローラー構成依存 | 参照のみ 0₁₆～FFFFFFFF₁₆   |      | ビット0-7：ネットワークI/Fモジュール1種別<br>0₁₆:未実装、1₁₆:CC-Link、2₁₆:DeviceNet、3₁₆:PROFIBUS-DP、4～5₁₆:システム予約、6₁₆:EtherCAT、7₁₆:EtherNet/IP、8₁₆:システム予約、9₁₆:PIO、A₁₆:PROFINET IO、B～C₁₆:システム予約、D₁₆:CC-Link IE<br>ビット8-31：システム予約 |
| 226 | I/O1フィールドバスノードアドレス | コントローラー構成依存 | 0～99,999,999               |      | 設定可能範囲:<br>・CC-Link時：1～64<br>・DeviceNet時：0～63<br>・PROFIBUS-DP時：0～125<br>・EtherCAT時：0～65,535<br>・CC-Link IE時：1～120<br>※EtherNet/IP、PROFINET IOは設定不要 |
| 227 | I/O1フィールドバス通信速度     | コントローラー構成依存 | 0～9                        |      | ・CC-Link時:<br> (0:156kbps、1:625kbps、2:2.5Mbps、3:5Mbps、4:10Mbps)<br>・DeviceNet時:<br> (0:125kbps、1:250kbps、2:500kbps)<br>・EtherNet/IP時:<br> (0:オートネゴシエーション、1:10Mbps(半二重)、2:10Mbps(全二重)、3:100Mbps(半二重)、4:100Mbps(全二重))<br>※PROFIBUS-DP、EtherCAT、PROFINET IO、CC-Link IE時は設定不要 |
| 228 | I/O1フィールドバスネットワーク番号 | コントローラー構成依存 | 0～99,999,999               |      | ・CC-Link IE時：1～239<br>※CC-Link IE以外時は設定不要                                                        |
| 229～230 | (拡張用)                  | 0                   |                             |      |                                                                                                                   |
| 231～232 | システム予約               | 0                   | 0～256                      |      |                                                                                                                   |
| 233 | システム予約                   | -1                  | -1～3,999                   |      |                                                                                                                   |
| 234 | システム予約                   | -1                  | -1～6,999                   |      |                                                                                                                   |
| 235 | システム予約                   | 1                   | 0～5                        |      |                                                                                                                   |
| 236 | システム予約                   | 0₁₆                 | 参照のみ 0₁₆～FFFFFFFF₁₆   |      |                                                                                                                   |

</contents>
