ファイル名: RSEL(MJ0392-4M)_page576

<overview>
本ページは「パラメーター一覧（SELユニット）」の一部であり、主に表形式で構成されています。内容はI/Oパラメーターの詳細な一覧で、各パラメーターの番号、名称、出荷時設定値、入力範囲、単位、備考が記載されています。テキスト部分は表の備考欄に説明文として存在し、グラフや図は含まれていません。
</overview>

<contents>
### 表
#### パラメーター一覧（SELユニット）抜粋

| No. | パラメーター名称               | 出荷時設定値 | 入力範囲    | 単位 | 備考                                                                                          |
|-----|-------------------------------|--------------|-------------|------|-----------------------------------------------------------------------------------------------|
| 294 | 入力機能選択011割付ポートNo.  | -1           | -1～3,999   |      | I/OパラメーターNo.41「入力機能選択011」の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.11に割付<br>※プログラムスタート指定プログラムNo.指定時はLSB側から昇順に連続した入力ポートNo.を指定 |
| 295 | 入力機能選択012割付ポートNo.  | -1           | -1～3,999   |      | I/OパラメーターNo.42「入力機能選択012」の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.12に割付<br>※プログラムスタート指定プログラムNo.指定時はLSB側から昇順に連続した入力ポートNo.を指定 |
| 296 | 入力機能選択013割付ポートNo.  | -1           | -1～3,999   |      | I/OパラメーターNo.43「入力機能選択013」の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.13に割付<br>※プログラムスタート指定プログラムNo.指定時はLSB側から昇順に連続した入力ポートNo.を指定 |
| 297 | 入力機能選択014割付ポートNo.  | -1           | -1～3,999   |      | I/OパラメーターNo.44「入力機能選択014」の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.14に割付<br>※プログラムスタート指定プログラムNo.指定時はLSB側から昇順に連続した入力ポートNo.を指定<br>（関連情報：I/OパラメーターNo.30「入力機能選択000」） |
| 298 | 入力機能選択015割付ポートNo.  | -1           | -1～3,999   |      | I/OパラメーターNo.45「入力機能選択015」の機能割付ポートNo.を指定<br>※マイナス時、入力ポートNo.15に割付 |
| 299 | 出力機能選択300割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.46「出力機能選択300」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.300に割付 |
| 300 | 出力機能選択301割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.47「出力機能選択301」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.301に割付 |
| 301 | 出力機能選択302割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.48「出力機能選択302」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.302に割付 |
| 302 | 出力機能選択303割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.49「出力機能選択303」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.303に割付 |
| 303 | 出力機能選択304割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.50「出力機能選択304」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.304に割付 |
| 304 | 出力機能選択305割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.51「出力機能選択305」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.305に割付 |
| 305 | 出力機能選択306割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.52「出力機能選択306」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.306に割付 |
| 306 | 出力機能選択307割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.53「出力機能選択307」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.307に割付 |
| 307 | 出力機能選択308割付ポートNo.  | 0            | 0～6,999    |      | I/OパラメーターNo.54「出力機能選択308」の機能割付ポートNo.を指定<br>※0時、出力ポートNo.308に割付 |

</contents>
